set,variant,period,n,avgR,pf,sumR
WTI_eia,"A  CONTROL: any tight box, two-sided",15-20,50,0.8650282809894757,1.7524836098131318,43.25141404947379
WTI_eia,"A  CONTROL: any tight box, two-sided",20-26,58,-0.22021473442338224,0.8351688077820051,-12.77245459655617
WTI_eia,"A  CONTROL: any tight box, two-sided",post05,184,0.4939817118257785,1.4166910188302988,90.89263497594324
WTI_eia,A+ continuation only,<2005,66,-0.23605780524575748,0.8149347061254358,-15.579815146219994
WTI_eia,A+ continuation only,05-14,31,0.6594336032279132,1.5615841050130117,20.44244170006531
WTI_eia,A+ continuation only,15-20,16,2.7429766235046102,5.839685948179598,43.887625976073764
WTI_eia,A+ continuation only,20-26,21,1.6407278443450133,3.1089312368966713,34.45528473124528
WTI_eia,A+ continuation only,post05,68,1.4527257706968284,2.5982754654432,98.78535240738434
WTI_eia,A+ two-sided (OCO),<2005,76,0.2952004992169892,1.265006387467465,22.43523794049118
WTI_eia,A+ two-sided (OCO),05-14,42,0.47641811874723344,1.3718556548602172,20.009560987383804
WTI_eia,A+ two-sided (OCO),15-20,24,1.243585186162412,2.3016591913432123,29.84604446789789
WTI_eia,A+ two-sided (OCO),20-26,34,0.05005055509420267,1.0471571994871272,1.7017188732028907
WTI_eia,A+ two-sided (OCO),post05,100,0.5155732432848459,1.456965816044449,51.55732432848458
WTI_eia,"A+ CONTROL: any tight box, two-sided",<2005,92,0.5801934938106618,1.5180454741635265,53.37780143058088
WTI_eia,"A+ CONTROL: any tight box, two-sided",05-14,48,0.9436893185940787,1.8661275008612253,45.297087292515776
WTI_eia,"A+ CONTROL: any tight box, two-sided",15-20,28,1.4147217135842125,2.24993825073949,39.61220798035795
WTI_eia,"A+ CONTROL: any tight box, two-sided",20-26,35,0.05665061215379949,1.0445221659012331,1.9827714253829822
WTI_eia,"A+ CONTROL: any tight box, two-sided",post05,111,0.7828114116960063,1.6760754482888147,86.8920666982567
BRENT_eia,A  continuation only,<2005,94,0.5528173253014947,1.5349875859536262,51.9648285783405
BRENT_eia,A  continuation only,05-14,61,1.0211760168352628,2.05791461596355,62.291737026951026
BRENT_eia,A  continuation only,15-20,34,0.5591707860117703,1.4792619808296865,19.01180672440019
BRENT_eia,A  continuation only,20-26,37,0.44092421991862507,1.50769669870653,16.31419613698913
BRENT_eia,A  continuation only,post05,132,0.7395283324874268,1.7469737478438447,97.61773988834034
BRENT_eia,A  two-sided (OCO),<2005,118,0.5900031795976222,1.572052975219499,69.62037519251942
BRENT_eia,A  two-sided (OCO),05-14,80,0.5056464663666553,1.4610286095581597,40.45171730933242
BRENT_eia,A  two-sided (OCO),15-20,47,-0.01855916658143702,0.9855218865559744,-0.8722808293275399
BRENT_eia,A  two-sided (OCO),20-26,51,0.5960264588893674,1.6095814682404979,30.39734940335774
BRENT_eia,A  two-sided (OCO),post05,178,0.39312801058068897,1.3536744580907416,69.97678588336264
BRENT_eia,"A  CONTROL: any tight box, two-sided",<2005,145,-0.07559150795258687,0.9432644746524937,-10.960768653125097
BRENT_eia,"A  CONTROL: any tight box, two-sided",05-14,91,0.22356817616245456,1.1777084004035097,20.344704030783365
BRENT_eia,"A  CONTROL: any tight box, two-sided",15-20,55,-0.08875290012355734,0.9416056179413534,-4.881409506795654
BRENT_eia,"A  CONTROL: any tight box, two-sided",20-26,54,0.08848613956209299,1.0747456955369366,4.778251536353022
BRENT_eia,"A  CONTROL: any tight box, two-sided",post05,200,0.10120773030170366,1.077256560136647,20.24154606034073
BRENT_eia,A+ continuation only,<2005,58,0.33053720329981867,1.305414948262067,19.171157791389483
BRENT_eia,A+ continuation only,05-14,33,0.9730525953244301,2.02197126746677,32.11073564570619
BRENT_eia,A+ continuation only,15-20,21,1.3114470223481987,2.3363351355903488,27.540387469312172
BRENT_eia,A+ continuation only,20-26,24,0.5733925876074188,1.590340590944807,13.761422102578052
BRENT_eia,A+ continuation only,post05,78,0.9411864771486722,1.9744130885495712,73.41254521759643
BRENT_eia,A+ two-sided (OCO),<2005,80,0.32179681440218855,1.3051500586936313,25.743745152175084
BRENT_eia,A+ two-sided (OCO),05-14,41,1.1207486438402832,2.419874133038395,45.95069439745161
BRENT_eia,A+ two-sided (OCO),15-20,32,0.3883816030222882,1.3020265334046195,12.428211296713222
BRENT_eia,A+ two-sided (OCO),20-26,40,0.07100495171624788,1.0647341634295817,2.840198068649915
BRENT_eia,A+ two-sided (OCO),post05,113,0.5417619802019006,1.5215164865770783,61.21910376281476
BRENT_eia,"A+ CONTROL: any tight box, two-sided",<2005,95,-0.08934343234591098,0.928625565888356,-8.487626072861543
BRENT_eia,"A+ CONTROL: any tight box, two-sided",05-14,48,0.8312312917348637,1.672845475642108,39.899102003273455
BRENT_eia,"A+ CONTROL: any tight box, two-sided",15-20,40,-0.23457072824716682,0.8619421265953503,-9.382829129886673
BRENT_eia,"A+ CONTROL: any tight box, two-sided",20-26,43,0.07967708903687024,1.0631024650391838,3.42611482858542
BRENT_eia,"A+ CONTROL: any tight box, two-sided",post05,131,0.2591021961982611,1.1869521629008126,33.9423877019722
