label,period,n,win,avgR,pf,sumR,maxddR,cand,exit,set
"(5, 2.5, 5, 0.5) MM1 WTI_eia",p1,59,0.3728813559322034,-0.28273526692531387,0.7537290059538289,-16.68138074859352,21.19705839281354,"(5, 2.5, 5, 0.5)",MM1,WTI_eia
"(5, 2.5, 5, 0.5) MM1 WTI_eia",p2,37,0.5405405405405406,0.17044450847880666,1.163025768002172,6.306446813715846,10.161860484637954,"(5, 2.5, 5, 0.5)",MM1,WTI_eia
"(5, 2.5, 5, 0.5) MM1 WTI_eia",p3,17,0.4117647058823529,0.1890462103015329,1.1673414626422245,3.2137855751260593,9.673421096079984,"(5, 2.5, 5, 0.5)",MM1,WTI_eia
"(5, 2.5, 5, 0.5) MM1 WTI_eia",p4,13,0.5384615384615384,0.9390694517213232,2.353662821979712,12.2079028723772,4.281696774002098,"(5, 2.5, 5, 0.5)",MM1,WTI_eia
"(5, 2.5, 5, 0.5) MM1 BRENT_eia",p1,63,0.4603174603174603,0.08872519562457329,1.0848590755589098,5.589687324348117,17.27128022378994,"(5, 2.5, 5, 0.5)",MM1,BRENT_eia
"(5, 2.5, 5, 0.5) MM1 BRENT_eia",p2,40,0.475,0.5970318936621568,1.6124045846810535,23.881275746486274,12.370216364425763,"(5, 2.5, 5, 0.5)",MM1,BRENT_eia
"(5, 2.5, 5, 0.5) MM1 BRENT_eia",p3,23,0.5652173913043478,1.0405077068328892,2.5190530233611654,23.93167725715645,5.158300543229915,"(5, 2.5, 5, 0.5)",MM1,BRENT_eia
"(5, 2.5, 5, 0.5) MM1 BRENT_eia",p4,16,0.5625,0.6121358057881994,1.9815418106490867,9.79417289261119,4.397155997793865,"(5, 2.5, 5, 0.5)",MM1,BRENT_eia
"(5, 2.5, 5, 0.5) TR3.5 WTI_ohlc",p1,0,,,,0.0,,"(5, 2.5, 5, 0.5)",TR3.5,WTI_ohlc
"(5, 2.5, 5, 0.5) TR3.5 WTI_ohlc",p2,17,0.35294117647058826,0.4423024335434518,1.8087886157900213,7.51914137023868,6.650671066088647,"(5, 2.5, 5, 0.5)",TR3.5,WTI_ohlc
"(5, 2.5, 5, 0.5) TR3.5 WTI_ohlc",p3,7,0.42857142857142855,0.6943291825780067,2.366600915742973,4.860304278046047,3.556491307781445,"(5, 2.5, 5, 0.5)",TR3.5,WTI_ohlc
"(5, 2.5, 5, 0.5) TR3.5 WTI_ohlc",p4,0,,,,0.0,,"(5, 2.5, 5, 0.5)",TR3.5,WTI_ohlc
"(5, 2.5, 5, 0.5) TR3.5 WTI_eia",p1,52,0.25,-0.4485496508790918,0.6876307075219168,-23.324581845712775,36.45135206476677,"(5, 2.5, 5, 0.5)",TR3.5,WTI_eia
"(5, 2.5, 5, 0.5) TR3.5 WTI_eia",p2,30,0.36666666666666664,0.2790697951001469,1.2419662890059255,8.372093853004406,17.29202649909644,"(5, 2.5, 5, 0.5)",TR3.5,WTI_eia
"(5, 2.5, 5, 0.5) TR3.5 WTI_eia",p3,14,0.35714285714285715,3.7572517253863738,3.84573372740562,52.60152415540923,11.084385159657902,"(5, 2.5, 5, 0.5)",TR3.5,WTI_eia
"(5, 2.5, 5, 0.5) TR3.5 WTI_eia",p4,11,0.5454545454545454,2.8624379967011597,4.159958648993099,31.486817963712756,8.605054031278843,"(5, 2.5, 5, 0.5)",TR3.5,WTI_eia
"(5, 2.5, 5, 0.5) TR3.5 BRENT_eia",p1,55,0.2727272727272727,0.18910128617148989,1.1433798301891263,10.400570739431943,34.400612132567744,"(5, 2.5, 5, 0.5)",TR3.5,BRENT_eia
"(5, 2.5, 5, 0.5) TR3.5 BRENT_eia",p2,33,0.36363636363636365,1.117985829553652,2.0206109278143676,36.89353237527052,11.138665057562497,"(5, 2.5, 5, 0.5)",TR3.5,BRENT_eia
"(5, 2.5, 5, 0.5) TR3.5 BRENT_eia",p3,16,0.375,2.2938644123996488,3.1389490400237725,36.70183059839438,10.592379315139643,"(5, 2.5, 5, 0.5)",TR3.5,BRENT_eia
"(5, 2.5, 5, 0.5) TR3.5 BRENT_eia",p4,14,0.21428571428571427,1.0348919699899457,2.0443963431317584,14.488487579859239,8.748614725410235,"(5, 2.5, 5, 0.5)",TR3.5,BRENT_eia
"(4, 2.0, 5, 0.5) R2 WTI_ohlc",p1,0,,,,0.0,,"(4, 2.0, 5, 0.5)",R2,WTI_ohlc
"(4, 2.0, 5, 0.5) R2 WTI_ohlc",p2,16,0.4375,0.00300350119623706,1.0054364256314772,0.04805601913979296,5.811314342958497,"(4, 2.0, 5, 0.5)",R2,WTI_ohlc
"(4, 2.0, 5, 0.5) R2 WTI_ohlc",p3,9,0.6666666666666666,0.8385774621703608,4.393875889228383,7.547197159533247,2.2237693439193937,"(4, 2.0, 5, 0.5)",R2,WTI_ohlc
"(4, 2.0, 5, 0.5) R2 WTI_ohlc",p4,0,,,,0.0,,"(4, 2.0, 5, 0.5)",R2,WTI_ohlc
"(4, 2.0, 5, 0.5) R2 WTI_eia",p1,70,0.5,-0.2596787339482281,0.7320984924901317,-18.177511376375968,27.986339525004713,"(4, 2.0, 5, 0.5)",R2,WTI_eia
"(4, 2.0, 5, 0.5) R2 WTI_eia",p2,43,0.627906976744186,0.1661304340333535,1.2126635845750051,7.1436086634342,9.148146088162207,"(4, 2.0, 5, 0.5)",R2,WTI_eia
"(4, 2.0, 5, 0.5) R2 WTI_eia",p3,18,0.5555555555555556,0.4488763116713979,1.6085461735548348,8.079773610085162,7.898809713868511,"(4, 2.0, 5, 0.5)",R2,WTI_eia
"(4, 2.0, 5, 0.5) R2 WTI_eia",p4,16,0.5,0.17662229331796048,1.2276329741558558,2.8259566930873676,4.543169618873124,"(4, 2.0, 5, 0.5)",R2,WTI_eia
"(4, 2.0, 5, 0.5) R2 BRENT_eia",p1,72,0.5,-0.10669234187643974,0.8872323029049499,-7.681848615103661,19.439316328797958,"(4, 2.0, 5, 0.5)",R2,BRENT_eia
"(4, 2.0, 5, 0.5) R2 BRENT_eia",p2,50,0.66,0.7698789083103472,2.2860640221206405,38.49394541551736,5.261360368133438,"(4, 2.0, 5, 0.5)",R2,BRENT_eia
"(4, 2.0, 5, 0.5) R2 BRENT_eia",p3,24,0.6666666666666666,0.405928806746219,1.6116461817438834,9.742291361909256,4.607356301464275,"(4, 2.0, 5, 0.5)",R2,BRENT_eia
"(4, 2.0, 5, 0.5) R2 BRENT_eia",p4,18,0.5,0.038478755422009306,1.0476314759921543,0.6926175975961675,7.011731576759435,"(4, 2.0, 5, 0.5)",R2,BRENT_eia
"(4, 2.0, 5, 0.5) R3 WTI_ohlc",p1,0,,,,0.0,,"(4, 2.0, 5, 0.5)",R3,WTI_ohlc
"(4, 2.0, 5, 0.5) R3 WTI_ohlc",p2,16,0.4375,0.1025523211869829,1.1856227219642377,1.6408371389917265,5.811314342958497,"(4, 2.0, 5, 0.5)",R3,WTI_ohlc
"(4, 2.0, 5, 0.5) R3 WTI_ohlc",p3,9,0.5555555555555556,0.6941034201520639,2.9270432104661963,6.246930781368576,3.2417180618681094,"(4, 2.0, 5, 0.5)",R3,WTI_ohlc
"(4, 2.0, 5, 0.5) R3 WTI_ohlc",p4,0,,,,0.0,,"(4, 2.0, 5, 0.5)",R3,WTI_ohlc
"(4, 2.0, 5, 0.5) R3 WTI_eia",p1,70,0.4714285714285714,-0.011759571991053904,0.9884538381394318,-0.8231700393737733,17.467875776776136,"(4, 2.0, 5, 0.5)",R3,WTI_eia
"(4, 2.0, 5, 0.5) R3 WTI_eia",p2,42,0.5952380952380952,0.42739674191708943,1.5075032988099804,17.950663160517756,8.74353918281518,"(4, 2.0, 5, 0.5)",R3,WTI_eia
"(4, 2.0, 5, 0.5) R3 WTI_eia",p3,18,0.3888888888888889,-0.16247796790637026,0.8552172628112669,-2.9246034223146644,10.241506343081985,"(4, 2.0, 5, 0.5)",R3,WTI_eia
"(4, 2.0, 5, 0.5) R3 WTI_eia",p4,15,0.4666666666666667,0.4867454443141795,1.5881157702296644,7.301181664712693,4.543169618873123,"(4, 2.0, 5, 0.5)",R3,WTI_eia
"(4, 2.0, 5, 0.5) R3 BRENT_eia",p1,71,0.4084507042253521,-0.21092866365938975,0.8143843915255282,-14.975935119816672,29.112998156522764,"(4, 2.0, 5, 0.5)",R3,BRENT_eia
"(4, 2.0, 5, 0.5) R3 BRENT_eia",p2,49,0.5714285714285714,0.8885361642421293,2.1689754480554324,43.53827204786434,5.303927373077494,"(4, 2.0, 5, 0.5)",R3,BRENT_eia
"(4, 2.0, 5, 0.5) R3 BRENT_eia",p3,24,0.625,0.6797009249446607,1.848060049174058,16.312822198671856,4.472701777389275,"(4, 2.0, 5, 0.5)",R3,BRENT_eia
"(4, 2.0, 5, 0.5) R3 BRENT_eia",p4,17,0.47058823529411764,0.24320605160852202,1.2843307406933193,4.134502877344874,9.183661057103965,"(4, 2.0, 5, 0.5)",R3,BRENT_eia
"(4, 2.0, 5, 0.5) MM1 WTI_ohlc",p1,0,,,,0.0,,"(4, 2.0, 5, 0.5)",MM1,WTI_ohlc
"(4, 2.0, 5, 0.5) MM1 WTI_ohlc",p2,16,0.4375,0.08673896545371268,1.1570000823143125,1.3878234472594029,5.811314342958497,"(4, 2.0, 5, 0.5)",MM1,WTI_ohlc
"(4, 2.0, 5, 0.5) MM1 WTI_ohlc",p3,9,0.6666666666666666,1.0079878129688726,5.079510467902506,9.071890316719854,2.2237693439193937,"(4, 2.0, 5, 0.5)",MM1,WTI_ohlc
"(4, 2.0, 5, 0.5) MM1 WTI_ohlc",p4,0,,,,0.0,,"(4, 2.0, 5, 0.5)",MM1,WTI_ohlc
"(4, 2.0, 5, 0.5) MM1 WTI_eia",p1,69,0.4492753623188406,-0.1394549365359032,0.8723178421169543,-9.622390620977322,21.731829709141394,"(4, 2.0, 5, 0.5)",MM1,WTI_eia
"(4, 2.0, 5, 0.5) MM1 WTI_eia",p2,42,0.5476190476190477,0.18390710384832074,1.1770563696970244,7.724098361629471,9.635985600803718,"(4, 2.0, 5, 0.5)",MM1,WTI_eia
"(4, 2.0, 5, 0.5) MM1 WTI_eia",p3,18,0.3333333333333333,-0.45743190042208126,0.6169011429774588,-8.233774207597463,13.771444382948282,"(4, 2.0, 5, 0.5)",MM1,WTI_eia
"(4, 2.0, 5, 0.5) MM1 WTI_eia",p4,16,0.4375,0.36995664722422095,1.436914398949991,5.919306355587535,4.543169618873123,"(4, 2.0, 5, 0.5)",MM1,WTI_eia
"(4, 2.0, 5, 0.5) MM1 BRENT_eia",p1,71,0.4084507042253521,-0.07430968239215449,0.9368290735009219,-5.275987449842969,31.61657920657322,"(4, 2.0, 5, 0.5)",MM1,BRENT_eia
"(4, 2.0, 5, 0.5) MM1 BRENT_eia",p2,50,0.56,0.8892117098611158,2.1284459846025636,44.46058549305579,6.637260706410827,"(4, 2.0, 5, 0.5)",MM1,BRENT_eia
"(4, 2.0, 5, 0.5) MM1 BRENT_eia",p3,24,0.625,0.5633257819075407,1.7028592617325322,13.519818765780975,4.472701777389275,"(4, 2.0, 5, 0.5)",MM1,BRENT_eia
"(4, 2.0, 5, 0.5) MM1 BRENT_eia",p4,18,0.5,0.4387481640144097,1.543110670073822,7.897466952259374,5.473585619180434,"(4, 2.0, 5, 0.5)",MM1,BRENT_eia
"(4, 2.0, 5, 0.5) TR3.5 WTI_ohlc",p1,0,,,,0.0,,"(4, 2.0, 5, 0.5)",TR3.5,WTI_ohlc
"(4, 2.0, 5, 0.5) TR3.5 WTI_ohlc",p2,16,0.125,-0.06343956566164022,0.9169796533208305,-1.0150330505862435,9.630488858082824,"(4, 2.0, 5, 0.5)",TR3.5,WTI_ohlc
"(4, 2.0, 5, 0.5) TR3.5 WTI_ohlc",p3,8,0.5,2.276209732007154,5.8755663534200355,18.209677856057233,3.734884634127437,"(4, 2.0, 5, 0.5)",TR3.5,WTI_ohlc
"(4, 2.0, 5, 0.5) TR3.5 WTI_ohlc",p4,0,,,,0.0,,"(4, 2.0, 5, 0.5)",TR3.5,WTI_ohlc
"(4, 2.0, 5, 0.5) TR3.5 WTI_eia",p1,58,0.22413793103448276,-0.5028320966117427,0.6837002640042452,-29.164261603481076,40.511686745794634,"(4, 2.0, 5, 0.5)",TR3.5,WTI_eia
"(4, 2.0, 5, 0.5) TR3.5 WTI_eia",p2,35,0.3142857142857143,0.694967186717743,1.536839740071751,24.32385153512101,23.384955017093276,"(4, 2.0, 5, 0.5)",TR3.5,WTI_eia
"(4, 2.0, 5, 0.5) TR3.5 WTI_eia",p3,15,0.13333333333333333,1.0074266983229527,1.6588679579682353,15.111400474844292,18.777809798503114,"(4, 2.0, 5, 0.5)",TR3.5,WTI_eia
