label,period,n,win,avgR,pf,sumR,maxddR,exit,set,filter
,p4,9,0.6666666666666666,1.610949573796905,4.515110095615862,14.498546164172145,1.4885057471264302,R3,BRENT_eia,with_trend
,p1,48,0.4791666666666667,0.11767940485211399,1.1232157485241288,5.648611432901472,16.027431003844846,R3,BRENT_eia,counter_trend
,p2,32,0.375,-0.010395650940815467,0.9908284531729188,-0.33266083010609493,13.765863224829356,R3,BRENT_eia,counter_trend
,p3,12,0.5,0.21521348396090967,1.2471589112294832,2.582561807530916,5.122893877838441,R3,BRENT_eia,counter_trend
,p4,13,0.5384615384615384,0.0988284505803452,1.1235235046448835,1.2847698575444877,6.983882687262079,R3,BRENT_eia,counter_trend
,p1,35,0.37142857142857144,-0.21738004050797222,0.787351216645408,-7.608301417779027,17.49408046740781,R3,BRENT_eia,vol_high
,p2,22,0.5454545454545454,0.7516425435041424,1.8603670402926002,16.536135957091133,6.85057016154577,R3,BRENT_eia,vol_high
,p3,14,0.5714285714285714,0.6978274088840833,2.0532048497879907,9.769583724377167,4.207717284894322,R3,BRENT_eia,vol_high
,p4,8,0.625,0.5512643020208816,2.061811492211005,4.410114416167053,1.4885057471264302,R3,BRENT_eia,vol_high
,p1,40,0.525,0.24574556342463136,1.2240406030116675,9.829822536985255,11.564618755112296,R3,BRENT_eia,vol_low
,p2,33,0.3939393939393939,0.2114531194013046,1.209277983585834,6.977952940243052,10.674048810538002,R3,BRENT_eia,vol_low
,p3,12,0.5,0.3624130237787932,1.4200507830014357,4.348956285345518,7.164330341926837,R3,BRENT_eia,vol_low
,p4,14,0.5714285714285714,0.8123715432535413,2.0965014754025484,11.373201605549578,6.705241933745745,R3,BRENT_eia,vol_low
,p1,0,,,,0.0,,MM1,WTI_ohlc,all
,p2,26,0.46153846153846156,0.1816562865205674,1.3438677496604954,4.723063449534752,5.114555137372715,MM1,WTI_ohlc,all
,p3,10,0.5,0.4234963550338307,1.9939716030789811,4.234963550338307,4.260648430216569,MM1,WTI_ohlc,all
,p4,0,,,,0.0,,MM1,WTI_ohlc,all
,p1,0,,,,0.0,,MM1,WTI_ohlc,with_trend
