key,sym,family,bar,z,window_h,thr,exit,is_days,is_sharpe,is_gross_sharpe,is_ann_ret,is_ann_vol,is_max_dd,is_t_stat,is_trades,is_trades_py,is_avg_bps,is_avg_gross_bps,is_hit,oos_days,oos_sharpe,oos_gross_sharpe,oos_ann_ret,oos_ann_vol,oos_max_dd,oos_t_stat,oos_trades,oos_trades_py,oos_avg_bps,oos_avg_gross_bps,oos_hit,full_days,full_sharpe,full_gross_sharpe,full_ann_ret,full_ann_vol,full_max_dd,full_t_stat,full_trades,full_trades_py,full_avg_bps,full_avg_gross_bps,full_hit,is_sharpe_0x,oos_sharpe_0x,full_sharpe_0x,is_sharpe_2x,oos_sharpe_2x,full_sharpe_2x
XTIUSD|mr|15m|retz|1h|z3|mean,XTIUSD,E_meanrev,15,retz,1,3.0,mean,2008,-2.4766607920351245,-0.956115398231402,-0.30312484220978453,0.12239255500172894,-0.9186203173520477,-6.991141829168518,2475,310.6075697211155,-9.759093845715045,-3.7590938457150447,0.5385858585858586,1840,-1.9555187193347803,-0.3145706320877049,-0.22013135508193238,0.11256929064673732,-0.8374596859243446,-5.284095021506656,2249,308.01521739130436,-7.146768817018421,-1.1467688170184218,0.5255669186305024,3848,-2.2361154461910018,-0.6621014158628004,-0.26343980678482404,0.11781136221457945,-0.9864136451349536,-8.737988782544118,4724,309.36798336798336,-8.515419207794066,-2.515419207794066,0.5323878069432684,-0.956115398231402,-0.3145706320877049,-0.6621014158628004,-3.9747443714569464,-3.5699916467347705,-3.785846722534637
XTIUSD|mr|15m|retz|1h|z3|time30,XTIUSD,E_meanrev,15,retz,1,3.0,time30,2008,-2.591632952018963,-0.7435542088700974,-0.2678035264714275,0.10333389466390304,-0.8884985967698891,-7.315686344686275,2542,319.0159362549801,-8.39467550164579,-2.394675501645789,0.45476003147128247,1840,-1.696539882733367,0.2533625546210784,-0.16455099425334163,0.09699211667704892,-0.7690366830931198,-4.584296667427676,2300,315.0,-5.223841087407671,0.776158912592329,0.4408695652173913,3848,-2.175802816166998,-0.2821829236530195,-0.2184312137683927,0.10039108881805384,-0.9737621723507368,-8.502307263732918,4842,317.09563409563407,-6.888496411858991,-0.8884964118589919,0.44816191656340354,-0.7435542088700974,0.2533625546210784,-0.2821829236530195,-4.392651979476912,-3.6003861657579983,-4.022571174129222
XTIUSD|mr|15m|pxz|1h|z2|mean,XTIUSD,E_meanrev,15,pxz,1,2.0,mean,2008,,,0.0,0.0,0.0,,0,0.0,,,,1840,,,0.0,0.0,0.0,,0,0.0,,,,3848,,,0.0,0.0,0.0,,0,0.0,,,,,,,,,
XTIUSD|mr|15m|pxz|1h|z2|time30,XTIUSD,E_meanrev,15,pxz,1,2.0,time30,2008,,,0.0,0.0,0.0,,0,0.0,,,,1840,,,0.0,0.0,0.0,,0,0.0,,,,3848,,,0.0,0.0,0.0,,0,0.0,,,,,,,,,
XTIUSD|mr|15m|pxz|1h|z3|mean,XTIUSD,E_meanrev,15,pxz,1,3.0,mean,2008,,,0.0,0.0,0.0,,0,0.0,,,,1840,,,0.0,0.0,0.0,,0,0.0,,,,3848,,,0.0,0.0,0.0,,0,0.0,,,,,,,,,
XTIUSD|mr|15m|pxz|1h|z3|time30,XTIUSD,E_meanrev,15,pxz,1,3.0,time30,2008,,,0.0,0.0,0.0,,0,0.0,,,,1840,,,0.0,0.0,0.0,,0,0.0,,,,3848,,,0.0,0.0,0.0,,0,0.0,,,,,,,,,
XTIUSD|mr|15m|retz|4h|z2|mean,XTIUSD,E_meanrev,15,retz,4,2.0,mean,2008,-2.275221495045427,-0.6597009206187227,-0.3419034236131203,0.15027258856232542,-0.9440843837778256,-6.422517050292056,3222,404.35458167330677,-8.4555347981529,-2.4555347981528994,0.49844816883923027,1840,-2.2925132109051063,-0.6856411647437163,-0.3237884050618874,0.14123731262340367,-0.9228925065332532,-6.194702983258963,2764,378.54782608695655,-8.553434539801312,-2.5534345398013123,0.4678002894356006,3848,-2.282409561439617,-0.6714116221055687,-0.3332413565304102,0.14600418880133856,-0.9956295231141488,-8.918890649855692,5986,392.014553014553,-8.500739423264195,-2.500739423264194,0.4842966922819913,-0.6597009206187227,-0.6856411647437163,-0.6714116221055687,-3.8860614045126685,-3.884083110456104,-3.8838818933634713
XTIUSD|mr|15m|retz|4h|z2|time30,XTIUSD,E_meanrev,15,retz,4,2.0,time30,2008,-2.77743154669883,-0.6223646103137569,-0.3471936322322497,0.12500528866135815,-0.9451142601018092,-7.840160399124622,3581,449.4083665338645,-7.725571175054824,-1.7255711750548244,0.4602066461882156,1840,-2.5202104026135888,-0.6548640558923713,-0.3373903205441647,0.13387387029046205,-0.9333192576503015,-6.809973798731969,3042,416.6217391304348,-8.098240894686857,-2.098240894686858,0.4260355029585799,3848,-2.6488153906800096,-0.6381672315183838,-0.34250597799470384,0.12930534124795123,-0.996313274078579,-10.350681674426903,6623,433.7307692307692,-7.896741533973842,-1.896741533973841,0.44451155065680203,-0.6223646103137569,-0.6548640558923713,-0.6381672315183838,-4.895389036761931,-4.359553843784837,-4.62810004703638
XTIUSD|mr|15m|retz|4h|z3|mean,XTIUSD,E_meanrev,15,retz,4,3.0,mean,2008,-1.4001144710326832,-0.356164207990109,-0.15257515534164817,0.10897334360747893,-0.7425297273600026,-3.952256552669617,1511,189.62749003984064,-8.046046240953368,-2.0460462409533666,0.4884182660489742,1840,-1.4160578072015313,-0.3439809679858556,-0.13681961478051208,0.0966200772911244,-0.70442617818317,-3.826393444980489,1262,172.83913043478262,-7.91600920673101,-1.9160092067310088,0.4643423137876387,3848,-1.4049103156330942,-0.3500963019195736,-0.14504132097769534,0.10323884689560091,-0.9222193078616393,-5.4899180627697834,2773,181.5997920997921,-7.98686602559505,-1.986866025595049,0.4774612333213127,-0.356164207990109,-0.3439809679858556,-0.3500963019195736,-2.4360906855325224,-2.4704776680635923,-2.4477047295938927
XTIUSD|mr|15m|retz|4h|z3|time30,XTIUSD,E_meanrev,15,retz,4,3.0,time30,2008,-1.517389142002394,-0.15462440626705362,-0.13174173899384523,0.08682132707236505,-0.6885409562537537,-4.2833006182740165,1572,197.28286852589642,-6.677809379913394,-0.677809379913395,0.4847328244274809,1840,-1.8009084353615714,-0.44208968824510053,-0.14322765597423326,0.07953078188868454,-0.7053991354006577,-4.8663156242864245,1318,180.5086956521739,-7.934667937007407,-1.9346679370074078,0.4309559939301973,3848,-1.6453972119555689,-0.28534116695445944,-0.1372339654085838,0.08340476354975712,-0.9070538037133027,-6.429660152559516,2890,189.26195426195426,-7.251006465813018,-1.2510064658130173,0.4602076124567474,-0.15462440626705362,-0.44208968824510053,-0.28534116695445944,-2.8544462884990374,-3.120826384201306,-2.9740879764822363
XTIUSD|mr|15m|pxz|4h|z2|mean,XTIUSD,E_meanrev,15,pxz,4,2.0,mean,2008,-1.566623397309005,-0.07062408485211158,-0.2316369571509516,0.14785746054146473,-0.8562923488031315,-4.422279546195417,2937,368.5876494023904,-6.284447065074376,-0.28444706507437706,0.48586993530813755,1840,-1.985525692956384,-0.5244509999668456,-0.26327599296458276,0.13259762585724755,-0.8684237593875139,-5.365178213580795,2357,322.80652173913046,-8.155844917450088,-2.1558449174500876,0.45354263894781505,3848,-1.7531883772402324,-0.2745512204373789,-0.24676581003480855,0.14075259295481585,-0.9808996229167414,-6.850871854629347,5294,346.6964656964657,-7.117632697497791,-1.1176326974977904,0.47147714393653195,-0.07062408485211158,-0.5244509999668456,-0.2745512204373789,-3.068022396976982,-3.440739407865315,-3.2324260033248575
XTIUSD|mr|15m|pxz|4h|z2|time30,XTIUSD,E_meanrev,15,pxz,4,2.0,time30,2008,-2.320410704173296,-0.11495730629108834,-0.26742754669412366,0.11525009181053636,-0.8878956645233813,-6.550077583077528,3376,423.6812749003984,-6.311998252861002,-0.3119982528610031,0.4786729857819905,1840,-2.2474350923090816,-0.17418673307787766,-0.24167149027860385,0.10753213345543315,-0.862924046726788,-6.07289537298297,2714,371.7,-6.501788815674034,-0.5017888156740353,0.449521002210759,3848,-2.285646411212353,-0.14215617761323163,-0.2551117608821288,0.11161470979529699,-0.9845349954174089,-8.931539172566415,6090,398.8253638253638,-6.396578152282114,-0.3965781522821146,0.4656814449917898,-0.11495730629108834,-0.17418673307787766,-0.14215617761323163,-4.493911596516736,-4.2813572072013475,-4.393378201620376
XTIUSD|mr|15m|pxz|4h|z3|mean,XTIUSD,E_meanrev,15,pxz,4,3.0,mean,2008,0.018200164816478685,0.4929501325095022,0.0010855559835785083,0.059645393023893434,-0.13336428970982228,0.05137559974116986,377,47.31274900398407,0.22944259347244578,6.229442593472447,0.493368700265252,1840,-0.5480077601504069,-0.10935839290178549,-0.027280619624203015,0.049781447650879156,-0.26930929763198896,-1.4807963986879313,266,36.4304347826087,-7.488414504793761,-1.4884145047937625,0.45112781954887216,3848,-0.22626350794587485,0.23186494682951433,-0.012478311770662134,0.0551494665840994,-0.3144895480353148,-0.8841618610067327,643,42.109147609147605,-2.9633256617978665,3.0366743382021335,0.4758942457231726,0.4929501325095022,-0.10935839290178549,0.23186494682951433,-0.4569747977683761,-0.9787304483245632,-0.6814592176414233
