key,sym,family,mode,w,k,exit,is_days,is_sharpe,is_gross_sharpe,is_ann_ret,is_ann_vol,is_max_dd,is_t_stat,is_trades,is_trades_py,is_avg_bps,is_avg_gross_bps,is_hit,oos_days,oos_sharpe,oos_gross_sharpe,oos_ann_ret,oos_ann_vol,oos_max_dd,oos_t_stat,oos_trades,oos_trades_py,oos_avg_bps,oos_avg_gross_bps,oos_hit,full_days,full_sharpe,full_gross_sharpe,full_ann_ret,full_ann_vol,full_max_dd,full_t_stat,full_trades,full_trades_py,full_avg_bps,full_avg_gross_bps,full_hit,is_sharpe_0x,oos_sharpe_0x,full_sharpe_0x,is_sharpe_2x,oos_sharpe_2x,full_sharpe_2x,dir
XTIUSD|eia_cont|w15|k1.5|T+60,XTIUSD,C_eia,cont,15,1.5,T+60,2008,-0.4022808182085198,-0.052497172124956915,-0.013529478457719507,0.033631925374842477,-0.11481347914930162,-1.1355621505756177,134,16.816733067729082,-8.045247791726123,-1.0452477917261254,0.44029850746268656,1840,-0.19394241468048606,0.11883209990864825,-0.007016437293635062,0.036177941298680946,-0.09306788751982453,-0.5240605153709554,118,16.160869565217393,-4.341621139456723,2.658378860543273,0.4830508474576271,3848,-0.29869670909268886,0.03269125087439212,-0.01041513444994524,0.03486859457401424,-0.15494981880406022,-1.1672065044229476,252,16.503118503118504,-6.311009914869817,0.6889900851301802,0.4603174603174603,-0.052497172124956915,0.11883209990864825,0.03269125087439212,-0.7439961207370536,-0.5034508974033236,-0.6245839719685002,
XTIUSD|eia_cont|w15|k1.5|14:30,XTIUSD,C_eia,cont,15,1.5,14:30,2008,-0.3858852626290716,-0.22049626938711284,-0.02736374781880924,0.07091161666132964,-0.3123849313701227,-1.0892806190907394,134,16.816733067729082,-16.27173821966624,-9.271738219666242,0.5149253731343284,1840,-0.06874405333160949,0.07718430234336365,-0.005329052673248809,0.07752019869329461,-0.17970670514900444,-0.1857563961808121,118,16.160869565217393,-3.2975036719053707,3.7024963280946257,0.5423728813559322,3848,-0.2269719728244977,-0.0712472414813029,-0.016827407104715895,0.0741387004541191,-0.3123849313701227,-0.8869303040103252,252,16.503118503118504,-10.196501407619483,-3.196501407619486,0.5277777777777778,-0.22049626938711284,0.07718430234336365,-0.0712472414813029,-0.5495208398425495,-0.21441839892613718,-0.3817646243271119,
XTIUSD|eia_fade|w15|k1.5|T+30,XTIUSD,C_eia,fade,15,1.5,T+30,2008,-0.5721929406504871,-0.036992076807101794,-0.01257744660876627,0.02198112859356117,-0.14205166165843175,-1.6151917188665321,134,16.816733067729082,-7.4791260336421095,-0.4791260336421087,0.48507462686567165,1840,-0.18528694968382856,0.34319228194120477,-0.003959994040849798,0.021372223179274553,-0.08293901086876754,-0.5006721943871393,118,16.160869565217393,-2.450359508731377,4.54964049126862,0.4661016949152542,3848,-0.38987790639138165,0.1432370553413715,-0.008456835193754234,0.021690983395362705,-0.19164383183088807,-1.523512025469317,252,16.503118503118504,-5.12438615292994,1.8756138470700576,0.47619047619047616,-0.036992076807101794,0.34319228194120477,0.1432370553413715,-1.0810582811538865,-0.7049390844474216,-0.9047236665260471,
XTIUSD|eia_fade|w15|k1.5|T+45,XTIUSD,C_eia,fade,15,1.5,T+45,2008,-0.33052814075485937,0.0614173320810256,-0.009931666235146444,0.03004786888179787,-0.11968539314018711,-0.933018004718276,134,16.816733067729082,-5.905823797729822,1.0941762022701789,0.4701492537313433,1840,-0.22343341081435156,0.110162244800348,-0.0075796249531300845,0.03392341783399581,-0.142950758001263,-0.6037494614850798,118,16.160869565217393,-4.690109602421093,2.3098903975789065,0.4661016949152542,3848,-0.2756006740364869,0.08607377134762631,-0.008806989530647976,0.031955616804776085,-0.2318310227748248,-1.0769549498414943,252,16.503118503118504,-5.336560801513828,1.6634391984861703,0.46825396825396826,0.0614173320810256,0.110162244800348,0.08607377134762631,-0.7141621143493092,-0.5527567644249674,-0.6312365835127616,
XTIUSD|eia_fade|w15|k1.5|T+60,XTIUSD,C_eia,fade,15,1.5,T+60,2008,-0.29835796883423554,0.052497172124956915,-0.0100139478371012,0.03356353401998403,-0.10939431143499767,-0.8422077349836767,134,16.816733067729082,-5.954752208273875,1.0452477917261254,0.43283582089552236,1840,-0.42960005684262553,-0.11883209990864825,-0.015608780097669275,0.03633328219830103,-0.18603383214153157,-1.1608416217939905,118,16.160869565217393,-9.658378860543273,-2.658378860543273,0.423728813559322,3848,-0.3634712003488922,-0.03269125087439212,-0.012689231454420656,0.0349112431528011,-0.2535789155645104,-1.4203234796470259,252,16.503118503118504,-7.688990085130176,-0.6889900851301802,0.42857142857142855,0.052497172124956915,-0.11883209990864825,-0.03269125087439212,-0.6431808550147696,-0.7332549817072193,-0.6875898222980248,
XTIUSD|eia_fade|w15|k1.5|14:30,XTIUSD,C_eia,fade,15,1.5,14:30,2008,0.05409412089941183,0.22049626938711284,0.0038203215239885394,0.07062359939433045,-0.19687278391550855,0.1526974031115576,134,16.816733067729082,2.27173821966624,9.271738219666242,0.417910447761194,1840,-0.22282750173025492,-0.07718430234336365,-0.017296164718055524,0.07762131955773348,-0.24406093403642293,-0.6021122073166053,118,16.160869565217393,-10.702496328094623,-3.7024963280946257,0.423728813559322,3848,-0.08477161410386522,0.0712472414813029,-0.006276958799649996,0.07404552651267489,-0.3804532859258023,-0.3312590208074892,252,16.503118503118504,-3.8034985923805102,3.196501407619486,0.42063492063492064,0.22049626938711284,-0.07718430234336365,0.0712472414813029,-0.11255784606623788,-0.3676516220623829,-0.24044059730005363,
XTIUSD|eia_cont|w15|k2|T+60,XTIUSD,C_eia,cont,15,2.0,T+60,2008,-0.6523357534242826,-0.3642222065099277,-0.017023241909146565,0.026095828443845177,-0.14100046945721545,-1.8414196191474184,87,10.918326693227092,-15.59143849369016,-8.59143849369016,0.40229885057471265,1840,-0.059383524455704814,0.17375888755242114,-0.0017808724456010849,0.029989335626743885,-0.07256340765324076,-0.1604628904000733,73,9.997826086956522,-1.7812596759654253,5.218740324034572,0.4794520547945205,3848,-0.3473538298846182,-0.08608604714849855,-0.009734790814311929,0.028025575009625114,-0.15878687911539613,-1.3573422044356636,160,10.478170478170478,-9.290544408103246,-2.2905444081032513,0.4375,-0.3642222065099277,0.17375888755242114,-0.08608604714849855,-0.9264031770136126,-0.29159989218057836,-0.6022123227416272,
XTIUSD|eia_cont|w15|k2|14:30,XTIUSD,C_eia,cont,15,2.0,14:30,2008,-0.6142269340293759,-0.49204948108412544,-0.03750598315023917,0.0610620945978338,-0.3029443055001001,-1.7338456783846083,87,10.918326693227092,-34.35140219197236,-27.35140219197239,0.4827586206896552,1840,0.44377741599437254,0.5455948292388403,0.02971187552920374,0.06695220274476633,-0.10245808551971236,1.1991509011535573,73,9.997826086956522,29.718336037037872,36.71833603703787,0.6027397260273972,3848,-0.08385406057912442,0.03080804976484937,-0.005364387523894331,0.06397290109561854,-0.3029443055001001,-0.3276735295394842,160,10.478170478170478,-5.119584124986451,1.880415875013544,0.5375,-0.49204948108412544,0.5455948292388403,0.03080804976484937,-0.7339612676317062,0.3405901624188096,-0.19821426437115197,
XTIUSD|eia_fade|w15|k2|T+30,XTIUSD,C_eia,fade,15,2.0,T+30,2008,-0.2907160631710462,0.16761454790496264,-0.004852200201849943,0.016690512897442118,-0.0692320896950197,-0.8206360904095394,87,10.918326693227092,-4.444087760132586,2.555912239867411,0.4942528735632184,1840,-0.09586634866793443,0.29883529362759625,-0.001694838997251171,0.017679185874929063,-0.06682005441360528,-0.2590447694096098,73,9.997826086956522,-1.69520752062522,5.30479247937478,0.4794520547945205,3848,-0.194685600179553,0.23236425478086203,-0.003342443284890031,0.017168415546950522,-0.1154720905189327,-0.7607659941661598,160,10.478170478170478,-3.18991115085735,3.810088849142648,0.4875,0.16761454790496264,0.29883529362759625,0.23236425478086203,-0.7334855972348744,-0.4863204034598078,-0.6122135630974158,
XTIUSD|eia_fade|w15|k2|T+45,XTIUSD,C_eia,fade,15,2.0,T+45,2008,-0.0343558122082853,0.28305585327967275,-0.0008246816756804858,0.02400413853355516,-0.06203613603942859,-0.09697991609381257,87,10.918326693227092,-0.7553187396307292,6.244681260369267,0.5057471264367817,1840,-0.1623605726228261,0.0719919630732257,-0.004850097440823152,0.029872384424821145,-0.11755446010126902,-0.4387218005139279,73,9.997826086956522,-4.851152039092519,2.148847960907478,0.4520547945205479,3848,-0.10195985142926337,0.16988844539497572,-0.0027495166569337366,0.026966660096020906,-0.14459691680947095,-0.3984248843575442,160,10.478170478170478,-2.624042682510171,4.375957317489826,0.48125,0.28305585327967275,0.0719919630732257,0.16988844539497572,-0.35086166969720084,-0.39416699219165974,-0.3717570797790984,
