name,start,end,years,ann_ret,cagr,ann_vol,sharpe,sortino,max_dd,calmar,skew,t_stat,hit_rate,turnover_py,cost_py,gross_sharpe,avg_abs_pos,time_in_mkt,symbol,dataset,is_sharpe,oos_sharpe,sr_1990-1999,sr_2000-2009,sr_2010-2019,sr_2020-2029
sma_50_200,1999-07-27,2026-09-22,21.6,-0.017599416611873905,-0.029405622117368968,0.15650921671350826,-0.11244971370657243,-0.15158989771964065,-0.5880291734533689,-0.05000708033697728,0.11662431071267872,-0.5220330331107499,0.45019333456085436,1.0326330733741498,0.007023873925828517,-0.06757365769534726,0.20873173867818784,1.0,XNGUSD,spot,-0.28354303181427176,-0.08518525672232909,,0.11,-0.23,-0.08
sma_50_200,1987-02-24,2026-09-22,39.5,-0.008217377648049824,-0.015142121751754334,0.1185849912625694,-0.06929525870483061,-0.09641900073341657,-0.717201214262408,-0.02111279436040409,-0.21919341648758628,-0.43577638466054325,0.5005017057997191,,,,,,PORT,spot,-0.07010354107539223,-0.06890296541455421,-0.64,0.52,-0.39,0.13
ewmac_4_16,1991-10-29,2024-03-28,32.4,0.003920915987996005,-0.01345162439690728,0.18690312060154296,0.020978333456266735,0.026144731760112026,-0.6466636002228355,-0.020801579665643697,0.16005087603590376,0.11937566209830404,0.5037418721629248,28.814213007864254,0.024437179519369377,0.15171084079171857,0.6293483165440384,0.9988970588235294,XTIUSD,fut,-0.06997451653849165,0.1105770601123305,-0.4,0.24,0.12,0.06
ewmac_4_16,1990-08-23,2024-03-28,34.1,0.08135389558206636,0.06745363401406612,0.17959954541800668,0.4529738390635693,0.5874403468061649,-0.4459373342759506,0.15126258518719385,0.5920489417278708,2.644811409428453,0.5036122116056864,21.377229882121263,0.019946591923142742,0.5639372809368964,0.5051737605677333,0.9989523920381795,XBRUSD,fut,0.4165131895830442,0.4891755424222387,0.46,0.37,0.57,0.37
ewmac_4_16,1991-08-09,2024-03-28,32.5,0.05651278348847557,0.04137064758202236,0.1788514321356822,0.3159761306557682,0.41315272426477706,-0.5113573268650263,0.08090359795107074,0.2506051023219808,1.8022206565922858,0.4955428013188424,16.218824031723848,0.025346621229228337,0.4576479491203993,0.3621231360071598,0.9989021712612832,XNGUSD,fut,0.5085699104431194,0.1124894162878494,0.68,0.34,-0.12,0.44
ewmac_4_16,1990-08-23,2024-03-28,34.4,0.045741294970256516,0.03729900815039433,0.13509357350689813,0.3385897180958122,0.4457017524742644,-0.39976437160162004,0.09330248216207764,0.15836922562725778,1.9851008947891395,0.5139258060788165,,,,,,PORT,fut,0.377479787400921,0.29830030574796457,0.35,0.38,0.25,0.41
ewmac_4_16,1987-02-24,2026-09-22,36.7,-0.04202469674530633,-0.058245133108628444,0.1893207442020248,-0.22197618608799485,-0.26349436067992044,-0.9186582018918649,-0.06340239818104239,-0.2002155214747041,-1.3444961798648576,0.4898224339540927,20.360954139808744,0.017304309608939104,-0.13057419437132706,0.41798607031577095,0.9990265008112493,XTIUSD,spot,-0.446825282487845,-0.002824937267414322,-0.36,-0.46,0.02,-0.01
ewmac_4_16,1988-06-01,2026-09-22,35.0,0.03763859990607035,0.020262775909322572,0.187403081830226,0.20084301463178858,0.2439691002703792,-0.594721996027051,0.034071004678967544,8.85451076267716e-05,1.1889440106641125,0.5077080027204716,19.781521381763135,0.018548685647801842,0.29980735099262656,0.4306363167371296,0.9989808628694372,XBRUSD,spot,0.037066375345014176,0.3443025958462057,0.06,0.13,0.39,0.25
ewmac_4_16,1999-07-27,2026-09-22,21.6,-0.11841853173124613,-0.12746910231646136,0.18886549632222144,-0.6269992880500179,-0.7256358898157743,-0.957922942828477,-0.13306822147936131,-0.12903479734388903,-2.9107618802225623,0.44098118775359646,10.459841531373584,0.015896861994442957,-0.542849119715587,0.18956392853093298,0.9983428466212484,XNGUSD,spot,-0.5279142606884606,-0.6427601920991083,,-0.29,-0.64,-0.78
ewmac_4_16,1987-02-24,2026-09-22,39.5,-0.023201248521457968,-0.03318400969353896,0.1451353118277014,-0.1598594320657231,-0.19685625892275685,-0.8451194791504582,-0.039265465430872115,-0.04760123773846244,-1.005306375378786,0.4977398292315419,,,,,,PORT,spot,-0.18772274972860645,-0.12517097858337634,-0.22,-0.14,-0.07,-0.26
