name,family,symbol,dataset,window_start,lag,cost_mult,start,end,years,sharpe,is_sharpe,oos_sharpe,gross_sharpe,cagr,ann_vol,max_dd,t_stat,turnover_py,cost_py,time_in_mkt,sr_1990-1999,sr_2000-2009,sr_2010-2019,sr_2020-2029
roll_win_fixed_short,E_daily_fixed,XBRUSD,fut,,1,1.0,1990-08-30,2024-03-28,33.3,-0.16841477784491,-0.23306156791231367,-0.09979505416658281,-0.06611110762066451,-0.015012068644752574,0.07373229782790602,-0.5539310378531201,-0.9719958457898439,12.820980269351864,0.007541237394798072,0.23933762211103168,0.16,-0.59,0.15,-0.42
roll_win_fixed_short,E_daily_fixed,XNGUSD,fut,,1,1.0,1991-08-09,2024-03-28,32.4,-0.45693536832663467,-0.5456874515347346,-0.3620524112235863,-0.28951684914017,-0.03413605252288965,0.07055368567414065,-0.7469135669059812,-2.5995197021509746,9.550632459934645,0.011827059830681571,0.23859735164296222,-0.26,-0.7,-0.51,-0.18
roll_win_fixed_short,E_daily_fixed,PORT,fut,,1,1.0,1990-08-30,2024-03-28,33.6,-0.3803139127231267,-0.4442539813818113,-0.30816086029924533,,-0.0234114542591356,0.05788654360182533,-0.6230527604671128,-2.2030503854543175,,,,0.05,-0.81,-0.18,-0.5
tom_wf_sign,E_daily_wf,XTIUSD,fut,,1,1.0,1991-10-29,2024-03-28,32.2,0.0834563076377982,0.25136921833453263,-0.07041820710982247,0.19745598417440202,0.0033928105540634856,0.06988410304780183,-0.37244547117381277,0.4735323283219381,15.93740985794208,0.007963379594258392,0.1890792555158388,-0.43,0.71,-0.29,0.35
tom_wf_sign,E_daily_wf,XBRUSD,fut,,1,1.0,1990-08-30,2024-03-28,33.3,0.07620237097714354,0.24783428502252222,-0.0919179205805143,0.17674911264819732,0.0028983244553550946,0.07184599164083533,-0.40773304364001817,0.4397974392563595,13.081351439403791,0.007222681566970804,0.18942101501072195,-0.18,0.51,-0.32,0.43
tom_wf_sign,E_daily_wf,XNGUSD,fut,,1,1.0,1991-08-09,2024-03-28,32.4,-0.21686520560257314,-0.3522376322278713,-0.081064882576627,-0.037357889894066826,-0.01686482109841636,0.06781652229321315,-0.5069299905314903,-1.233752985109098,10.230311855713628,0.012174130434604682,0.18881804806277588,-0.49,-0.22,0.14,-0.44
tom_wf_sign,E_daily_wf,PORT,fut,,1,1.0,1990-08-30,2024-03-28,33.6,-0.028407260340652846,0.0983876637766594,-0.14829114664113316,,-0.002577021120221845,0.048850636546516626,-0.2870143438960895,-0.16455518388762533,,,,-0.64,0.41,-0.28,0.17
eia_wf_sign,E_daily_wf,XTIUSD,fut,,1,1.0,1991-10-29,2024-03-28,32.2,-0.05359385626989346,0.09181928270988558,-0.19794543658875138,0.2599966300837114,-0.006205053016699935,0.07014969066664013,-0.4046676142215344,-0.30409233599665997,65.66012231237896,0.021997934849740813,0.2079378774805867,0.02,0.26,-0.31,-0.39
eia_wf_sign,E_daily_wf,XBRUSD,fut,,1,1.0,1990-08-30,2024-03-28,33.3,-0.20065947232158052,-0.28515292610725484,-0.11429528633828222,0.10621427173104955,-0.015935860575227223,0.06838778994579348,-0.42164179530049617,-1.15809417683386,54.51143224260974,0.020984177958226023,0.20836311651179415,-0.46,0.02,-0.22,-0.2
eia_wf_sign,E_daily_wf,XNGUSD,fut,,1,1.0,1991-08-09,2024-03-28,32.4,0.01259241774055864,-0.21213432054522216,0.2201288420138704,0.5377306940703016,-0.0015505174929799637,0.06967592505491658,-0.2966083718912761,0.07163866113970406,35.36747681553048,0.036608188955220625,0.1893084845512506,-0.76,0.14,0.23,0.23
eia_wf_sign,E_daily_wf,PORT,fut,,1,1.0,1990-08-30,2024-03-28,33.6,-0.10550069853678871,-0.19220275586029412,-0.019665904175482918,,-0.006390803724507066,0.04926118985768656,-0.27318507963938354,-0.6111355561856062,,,,-0.54,0.23,-0.14,-0.16
pre_hol_wf_sign,E_daily_wf,XTIUSD,fut,,1,1.0,1991-10-29,2024-03-28,32.2,0.4836931575649501,0.6891679367619682,0.3323076985854705,0.6204289907565883,0.011545087017168054,0.02434467203639923,-0.04833266002680925,2.7444821557308443,10.096704150512638,0.003399224707991191,0.032047331443362505,0.18,0.94,0.26,0.4
