model,target,symbol,n_eval,base_rate_up,accuracy,acc_always_up,acc_minus_best_naive,acc_se,auc,auc_se,auc_z,logloss,logloss_baserate,logloss_gain,trend_sign_accuracy,trend_auc
lr_y5_pooled,y5,ALL,2933,0.5168769178315717,0.5431299011251278,0.5168769178315717,0.026252983293556076,0.009232386405762703,0.5438470476293332,0.010607848330070136,4.1334534832139065,0.696624639892538,0.6932503556869656,-0.0033742842055723976,0.524036822366178,0.5446577369037489
lgbm_y1_per_instr,y1,XBRUSD,4959,0.519257914902198,0.514216575922565,0.519257914902198,-0.005041338979632992,0.007100238714038416,0.5197818791946308,0.008193548231536322,2.4143238845524726,0.695985915207043,0.6927634411655104,-0.0032224740415326414,0.5134099616858238,0.5218868508503289
lgbm_y1_per_instr,y1,XNGUSD,4846,0.4754436648782501,0.5061906727197689,0.5245563351217499,-0.01836566240198101,0.0071825440709686805,0.5028541338840808,0.008305175269756097,0.3436572728903606,0.6974076065941999,0.6929654235954364,-0.004442182998763422,0.5208419314898886,0.5042356125426173
lgbm_y1_per_instr,y1,XTIUSD,4865,0.5301130524152107,0.518191161356629,0.5301130524152107,-0.011921891058581657,0.00716850482732654,0.5154907206975243,0.008283359361874682,1.8701012500824887,0.6980609296466267,0.6919595084013507,-0.0061014212452760175,0.5206577595066804,0.5234781262074696
lgbm_y1_per_instr,y1,ALL,14670,0.5083844580777096,0.5128834355828221,0.5083844580777096,0.0044989775051125225,0.004128145038483916,0.5179589543187086,0.0047628879556917535,3.7706018881353915,0.6971436835581498,0.6925635552730621,-0.004580128285087692,0.51826857532379,0.5280559114029878
lgbm_y1_pooled,y1,XBRUSD,4959,0.519257914902198,0.5085702762653761,0.519257914902198,-0.010687638636821872,0.007100238714038416,0.5156349775200365,0.008197367955471394,1.9073167881406161,0.6939245600986323,0.6928653725237778,-0.0010591875748545698,0.5134099616858238,0.5218868508503289
lgbm_y1_pooled,y1,XNGUSD,4846,0.4754436648782501,0.49463475030953363,0.5245563351217499,-0.029921584812216295,0.0071825440709686805,0.49087141577060933,0.008300391501357456,-1.099777549998427,0.697015747307288,0.6937805949451918,-0.0032351523620961498,0.5208419314898886,0.5042356125426173
lgbm_y1_pooled,y1,XTIUSD,4865,0.5301130524152107,0.5134635149023639,0.5301130524152107,-0.016649537512846813,0.00716850482732654,0.5191380206981688,0.008279584409170404,2.3114711744434553,0.6937532243520818,0.6926081425919646,-0.0011450817601171837,0.5206577595066804,0.5234781262074696
lgbm_y1_pooled,y1,ALL,14670,0.5083844580777096,0.5055896387184731,0.5083844580777096,-0.0027948193592365334,0.004128145038483916,0.5142273343777475,0.004764486810055105,2.9861210545743817,0.694888864448065,0.6930823966707377,-0.001806467777327292,0.51826857532379,0.5280559114029878
lgbm_y5_per_instr,y5,XBRUSD,991,0.5418768920282543,0.5580221997981837,0.5418768920282543,0.016145307769929396,0.015883023449744897,0.5440815757307279,0.018281332757227153,2.411288953388869,0.6899114307068699,0.6905248596436835,0.0006134289368135981,0.5176589303733602,0.5277155678061346
lgbm_y5_per_instr,y5,XNGUSD,969,0.4664602683178535,0.5283797729618163,0.5335397316821465,-0.00515995872033026,0.016062314155080887,0.4997646394276031,0.018598423384131795,-0.012654866895746414,0.7047925422649624,0.692822935705509,-0.011969606559453339,0.5325077399380805,0.5244946166618168
lgbm_y5_per_instr,y5,XTIUSD,973,0.5416238437821171,0.5436793422404933,0.5416238437821171,0.0020554984583761593,0.016029264090937537,0.5191199870661415,0.018546710850457827,1.0309098589127736,0.7016551296193011,0.690009925889237,-0.011645203730064058,0.5220966084275437,0.5252316607244663
lgbm_y5_per_instr,y5,ALL,2933,0.5168769178315717,0.5434708489601091,0.5168769178315717,0.026593931128537363,0.009232386405762703,0.5399209188091083,0.010617378594721363,3.7599599988791748,0.6987237103323685,0.6911132691768688,-0.007610441155499692,0.524036822366178,0.5446577369037489
lgbm_y5_pooled,y5,XBRUSD,991,0.5418768920282543,0.5590312815338042,0.5418768920282543,0.017154389505549927,0.015883023449744897,0.5387328854215375,0.01830677449944443,2.1157678772256125,0.690335837585562,0.6910644087122192,0.0007285711266571404,0.5176589303733602,0.5277155678061346
lgbm_y5_pooled,y5,XNGUSD,969,0.4664602683178535,0.4953560371517028,0.5335397316821465,-0.038183694530443735,0.016062314155080887,0.4944626076239708,0.01859262694178528,-0.2978273265723621,0.7007039211216075,0.6982115447782185,-0.0024923763433890578,0.5325077399380805,0.5244946166618168
lgbm_y5_pooled,y5,XTIUSD,973,0.5416238437821171,0.5375128468653648,0.5416238437821171,-0.004110996916752319,0.016029264090937537,0.5207111920422732,0.018542193108113027,1.1169763965628838,0.6956268103981461,0.6905359478992469,-0.005090862498899229,0.5220966084275437,0.5252316607244663
lgbm_y5_pooled,y5,ALL,2933,0.5168769178315717,0.530855779065803,0.5168769178315717,0.013978861234231199,0.009232386405762703,0.5348789575508851,0.010628433343479134,3.2816649852054067,0.6955164681662209,0.6932503556869656,-0.0022661124792553444,0.524036822366178,0.5446577369037489
