sym,item,period,n,mean_bp,sd_bp,t,ann_sharpe_gross,slope
XTIUSD,overnight_1430_0900,full,3847,0.35194316953782423,156.0417168079864,0.1398920112603514,0.03580404476210948,
XTIUSD,intraday_0900_1430,is,2008,0.3713353037707875,182.89347872705403,0.09098082578800874,0.03223059259304693,
XTIUSD,intraday_0900_1430,oos,1840,-5.368188671042751,188.1665533143279,-1.2237543618637312,-0.45288257549346206,
XTIUSD,intraday_0900_1430,full,3848,-2.3731356197367264,185.4316246159649,-0.7938826054399685,-0.2031603840042704,
XTIUSD,close_to_close,is,2007,3.801752679220146,231.11214733180412,0.7369444868039212,0.26113275961083604,
XTIUSD,close_to_close,oos,1840,-8.345138516014055,258.914498890437,-1.3825666926661653,-0.5116552668401058,
XTIUSD,close_to_close,full,3847,-2.0080419137694383,244.84720209774034,-0.5086730408630799,-0.1301900813367025,
XTIUSD,sunday_gap_predicts_reopen->20:00,is,365,,,1.2184977453781047,,0.1456886571573672
XTIUSD,sunday_gap_predicts_reopen->20:00,oos,346,,,-1.6915031278462593,,-0.1331666488250048
XTIUSD,sunday_gap_predicts_reopen->20:00,full,711,,,-1.368587117828244,,-0.11359458805509381
XTIUSD,sunday_gap_predicts_reopen->02:00,is,365,,,1.0303740478366032,,0.13459895706474248
XTIUSD,sunday_gap_predicts_reopen->02:00,oos,346,,,-0.5606714242486138,,-0.03672137180554569
XTIUSD,sunday_gap_predicts_reopen->02:00,full,711,,,-0.40822724704621943,,-0.02389212453296142
XTIUSD,sunday_gap_predicts_reopen->09:00,is,365,,,0.495380105994625,,0.08798313463654972
XTIUSD,sunday_gap_predicts_reopen->09:00,oos,346,,,-5.89614634498559,,-0.1915091336820599
XTIUSD,sunday_gap_predicts_reopen->09:00,full,711,,,-5.775174503383618,,-0.17183997362116316
XTIUSD,sunday_gap_predicts_reopen->14:30,is,365,,,-1.6395360129385395,,-0.4565785606012966
XTIUSD,sunday_gap_predicts_reopen->14:30,oos,346,,,-3.1072946989429235,,-0.16275114356788736
XTIUSD,sunday_gap_predicts_reopen->14:30,full,711,,,-3.25755192349991,,-0.17534049266528448
XNGUSD,asia,is,1975,0.8722614357184761,67.34495326387926,0.5756058062000988,0.2056088890373644,
XNGUSD,asia,oos,1834,1.5166624777652329,65.41437572861186,0.9929226255263265,0.36805778799794,
XNGUSD,asia,full,3809,1.182534869983047,66.41447943527304,1.0988961940558093,0.28265160331669287,
XNGUSD,london,is,2004,-1.8540152053050372,100.53409406758755,-0.8255602643296396,-0.2927522173843883,
XNGUSD,london,oos,1840,0.782741727237584,106.52691953520518,0.31518680594941123,0.1166431899147929,
XNGUSD,london,full,3844,-0.5918838952430119,103.44085751211057,-0.35476118806121054,-0.09083321404139802,
XNGUSD,ny_pre,is,2005,-5.4469307144780466,82.50515052684472,-2.956160287956509,-1.0480235951635017,
XNGUSD,ny_pre,oos,1840,-1.6638574308673,73.76242199811466,-0.9675866189601302,-0.35808094635945426,
XNGUSD,ny_pre,full,3845,-3.6365653459881178,78.45570736066209,-2.8741870320212124,-0.7358124365145426,
XNGUSD,ny_main,is,2006,-6.460007562971286,262.7366435880751,-1.101229516078008,-0.3903126700365793,
XNGUSD,ny_main,oos,1840,-8.125636419060228,181.55635082910672,-1.9197949827943412,-0.7104707638412021,
XNGUSD,ny_main,full,3846,-7.256876282473016,227.51402820813252,-1.9780906005175094,-0.5063395015191475,
XNGUSD,post,is,2006,11.774549445834474,59.54411153961274,8.856679778248576,3.1391043206131295,
XNGUSD,post,oos,1840,5.219671660781644,52.30126538715535,4.280947482128382,1.5842775165319007,
XNGUSD,post,full,3846,8.638570474306338,56.28371128479133,9.518396545663315,2.4364607773434885,
XNGUSD,break_gap_tue_fri,is,1611,-0.4935193173997874,44.827583624865824,-0.44188229137251545,-0.17476686568337388,
XNGUSD,break_gap_tue_fri,oos,1489,-0.7579420657931338,50.72430015588149,-0.5765902524972051,-0.2372030219978111,
XNGUSD,break_gap_tue_fri,full,3100,-0.6205275342893658,47.74328102294685,-0.7236517929948221,-0.20632367556917855,
XNGUSD,weekend_gap,is,363,-5.394126149548658,126.80678615843463,-0.8104606165129886,-0.6752722041729723,
XNGUSD,weekend_gap,oos,345,-4.963187920742016,187.82779684181153,-0.490806609191936,-0.41947021162439624,
XNGUSD,weekend_gap,full,708,-5.184135063477624,159.37045300351613,-0.8655359869426622,-0.5163792365186751,
XNGUSD,overnight_1430_0900,is,2005,3.9714271143367963,176.8089608781818,1.0057719357984596,0.35656818893223824,
XNGUSD,overnight_1430_0900,oos,1840,3.9293343052883096,183.20834704947495,0.9199890006445602,0.34046619241710185,
XNGUSD,overnight_1430_0900,full,3845,3.9512838715151544,179.87627875949673,1.3621110290029705,0.34871016530514004,
XNGUSD,intraday_0900_1430,is,2006,-6.460007562971286,262.7366435880751,-1.101229516078008,-0.3903126700365793,
XNGUSD,intraday_0900_1430,oos,1840,-8.125636419060228,181.55635082910672,-1.9197949827943412,-0.7104707638412021,
XNGUSD,intraday_0900_1430,full,3846,-7.256876282473016,227.51402820813252,-1.9780906005175094,-0.5063395015191475,
XNGUSD,close_to_close,is,2005,-2.527874073283102,324.7622542960393,-0.3485355458575831,-0.12356348784606624,
XNGUSD,close_to_close,oos,1840,-4.132080094289751,254.20353363615342,-0.6972620995419497,-0.25804022872173404,
XNGUSD,close_to_close,full,3845,-3.29555653847224,293.08743437693295,-0.6972358987696269,-0.1784973767480626,
XNGUSD,sunday_gap_predicts_reopen->20:00,is,363,,,2.876774641106643,,0.14564210535360692
