sym,config,case,is_sharpe,oos_sharpe,full_sharpe,full_gross_sharpe,full_trades_py,full_avg_bps,full_hit,full_max_dd,full_ann_ret,full_ann_vol,full_sharpe_2x,oos_sharpe_2x,sharpe_2013_2016,sharpe_2017_2020
XTIUSD,on930|q0.8|14:30,ex-2008,0.4544737783066017,0.5290096478411942,0.4863789846534792,0.8969258062984827,48.33056133056133,7.034447878904201,0.5013550135501355,-0.20272655193278932,0.03399788146380166,0.06989998033739772,0.07166311811566682,0.11557418589824686,0.9658060893549795,0.3421308007760753
XTIUSD,on930|q0.8|14:30,ex-2020,0.8755685532022145,0.19987124046019572,0.6056749890032486,1.1433964942656811,51.604989604989605,6.653956994205068,0.5241116751269036,-0.17138476235494793,0.03433773815180005,0.05669334011679964,0.05969366379070087,-0.4864035927051534,0.9658060893549795,-1.1802197508993812
XTIUSD,on930|q0.8|14:30,vol-targeted size (cap 3x),0.6381447516987061,-0.02812615856161137,0.2950735470167397,0.9735405583361518,54.944906444906444,9.35135619302909,0.5208581644815257,-0.30183540939902953,0.016309085125967057,0.05527125454265757,-0.38147953250571126,-0.7873749812793441,0.6913600852141172,-0.699466989111405
XNGUSD,on1000|q0.8|14:30,baseline,-0.006834712589377069,-1.304997700728745,-0.6699394208262103,0.8170452337219138,45.53822152886115,-9.000867712815516,0.437410071942446,-0.5791685138210191,-0.040988350785816675,0.06118217485286556,-2.0811430060433644,-2.8596240902082943,-1.0507908476187544,-1.5621030851866087
XNGUSD,on1000|q0.8|14:30,entry 14:01,-0.020989619357326943,-1.3628374656653293,-0.7102213114717049,0.8281255694808215,45.53822152886115,-9.225365651148584,0.43884892086330934,-0.5771579358163177,-0.04201067447067505,0.05915152613995977,-2.1629775002270475,-2.951516936782706,-1.0149317833212748,-1.6867701840343983
XNGUSD,on1000|q0.8|14:30,entry 14:02,0.06615628322366655,-1.4220111011427816,-0.7061328530715069,0.8513750771556534,45.53822152886115,-9.057270119417131,0.43597122302158275,-0.5753839745670459,-0.04124519731447521,0.05840996794734672,-2.176471586032621,-3.0078823908963552,-1.1325080029004575,-1.7116565732354498
XNGUSD,on1000|q0.8|14:30,exit 14:29 (early),0.007448608194660888,-1.072410401527317,-0.5414805363199829,0.9661959161097576,45.53822152886115,-7.156183882107847,0.4589928057553957,-0.5121076240144405,-0.03258798869246928,0.0601831211033811,-1.9857971279973754,-2.6831223949073224,-0.972804937071892,-1.2087150600814545
XNGUSD,on1000|q0.8|14:30,exit 14:31 (late),-0.05173213998042241,-1.5241266710980925,-0.8001206571561117,0.7502312418190379,45.53822152886115,-10.325308340406146,0.42158273381294964,-0.6079694354637625,-0.04701961785592127,0.058765659198256735,-2.2530545464905822,-3.1179667036458394,-1.3314752301229242,-1.755118015837011
XNGUSD,on1000|q0.8|14:30,entry 14:01 + exit 14:31,-0.06841852648115503,-1.588117784955863,-0.845925430923522,0.7587053141205403,45.53822152886115,-10.549904173336964,0.42302158273381296,-0.6061445519184354,-0.048042387335367524,0.056792697771147774,-2.3408043847032074,-3.213854948870777,-1.3003191110943084,-1.8866026941267577
XNGUSD,on1000|q0.8|14:30,long trades only,0.04549933254395221,-1.1152068674612037,-0.5048361507160046,0.5105770890018545,23.457098283931355,-9.942892792727562,0.42178770949720673,-0.4175979827432219,-0.023323141346560314,0.046199427900480795,-1.4632352223896903,-2.2260713913622063,-1.3336129429795684,-1.0990413207838194
