bot,series,config,n_starts,first_start,last_start,p_stop_out,p_loss_ge_50pct,p_final_loss,mean_2y_ret,median_2y_ret,p05_2y_ret,worst_2y_ret,best_2y_ret,median_win_rate,median_trades,median_max_dd,p_stop_given_profitable_year1,share_profitable_year1,median_seq_win_rate,intraday_stop_check
martingale,WTI front (CRUDE_ICE),step3.0%_base0.5x_k6,136,2007-02-26,2018-05-01,0.04411764705882353,0.41911764705882354,0.6544117647058824,-0.04009654414321817,-0.10160514961811107,-0.7840537258580759,-0.9902076310997615,1.4487106139699946,0.5382366171839856,94.0,-0.5477466864071374,0.0,0.5514705882352942,1.0,False
martingale,WTI front (CRUDE_ICE),step3.0%_base0.5x_k6,136,2007-02-26,2018-05-01,0.6029411764705882,0.8088235294117647,0.9558823529411765,-0.6142862165690091,-0.6560032499205687,-0.9852217226877321,-0.9947443867957096,0.4526128839989416,0.44317448017564254,100.0,-0.7527979480814162,0.5588235294117647,0.25,1.0,True
martingale,NatGas (GAS_US),step5.0%_base0.5x_k6,161,2005-01-03,2018-05-01,0.2608695652173913,0.42857142857142855,0.4161490683229814,0.01789630506750517,0.31350360146857126,-0.937068846050293,-0.9703179150465907,1.2705244055450935,0.53125,63.0,-0.4477743657895378,0.09482758620689655,0.7204968944099379,1.0,False
martingale,NatGas (GAS_US),step5.0%_base0.5x_k6,161,2005-01-03,2018-05-01,0.8322981366459627,0.906832298136646,0.9192546583850931,-0.6842002590810792,-0.7570105908612175,-0.9705020096541584,-0.9950577031368824,0.4330804808570412,0.4,29.0,-0.7929985310773316,0.6333333333333333,0.18633540372670807,1.0,True
martingale,NatGas front (GAS-LAST),step5.0%_base0.5x_k6,125,2008-01-10,2018-05-01,0.184,0.52,0.504,-0.17710425831206478,-0.015141804723420638,-0.9697134769729898,-0.985197549328987,0.8316036801444477,0.5161290322580645,62.0,-0.6073486830188047,0.0,0.552,1.0,False
martingale,NatGas front (GAS-LAST),step5.0%_base0.5x_k6,125,2008-01-10,2018-05-01,0.896,1.0,1.0,-0.8028660533654566,-0.781889146016836,-0.9733917602741985,-0.9905734791043397,-0.4975400399925759,0.36585365853658536,24.0,-0.8058209281974955,0.42857142857142855,0.056,1.0,True
dca,"WTI (Dec, CRUDE_W)",step3.0%_tp2%_v1.5_m6_ladder5.0x,161,2005-01-03,2018-05-01,0.7763975155279503,0.84472049689441,0.8074534161490683,-0.6130281988324904,-0.8386232515092169,-0.9348037347459929,-0.9962192227187479,0.6777798990570911,1.0,18.0,-0.8542063351098435,0.6075949367088608,0.4906832298136646,,False
dca,"WTI (Dec, CRUDE_W)",step3.0%_tp2%_v1.5_m6_ladder5.0x,161,2005-01-03,2018-05-01,0.8074534161490683,0.84472049689441,0.8260869565217391,-0.5869562883159852,-0.7924504406546801,-0.8067358247994836,-0.9129107309530362,0.6777798990570911,1.0,17.0,-0.8033044813246055,0.6578947368421053,0.4720496894409938,,True
dca,WTI front (CRUDE_ICE),step3.0%_tp2%_v1.5_m6_ladder5.0x,136,2007-02-26,2018-05-01,0.7867647058823529,0.8382352941176471,0.8161764705882353,-0.6263615507339214,-0.8467116113053959,-1.0,-1.0,0.7427765511118039,1.0,18.0,-0.8678810597644699,0.6166666666666667,0.4411764705882353,,False
dca,WTI front (CRUDE_ICE),step3.0%_tp2%_v1.5_m6_ladder5.0x,136,2007-02-26,2018-05-01,0.8014705882352942,0.8382352941176471,0.8161764705882353,-0.5618077837009063,-0.7931084208314322,-0.8106040205506152,-0.9220091641880515,0.7427765511118039,1.0,16.0,-0.8080198297628854,0.6071428571428571,0.4117647058823529,,True
dca,NatGas (GAS_US),step5.0%_tp2%_v1.5_m6_ladder5.0x,161,2005-01-03,2018-05-01,0.8074534161490683,0.937888198757764,0.8260869565217391,-0.6459755503983193,-0.8232790603769465,-0.9516466954370111,-1.0,0.5255424659962795,1.0,16.0,-0.8422043005483084,0.5573770491803278,0.37888198757763975,,False
dca,NatGas (GAS_US),step5.0%_tp2%_v1.5_m6_ladder5.0x,161,2005-01-03,2018-05-01,0.8944099378881988,0.937888198757764,0.906832298136646,-0.7114061414520021,-0.7980569241120248,-0.9007595457997233,-1.0,0.3437607997843086,1.0,11.0,-0.8162319380351675,0.6875,0.2981366459627329,,True
dca,NatGas front (GAS-LAST),step5.0%_tp2%_v1.5_m6_ladder5.0x,125,2008-01-10,2018-05-01,0.768,0.92,0.848,-0.6509886262248862,-0.821738842191232,-0.9387521838357045,-1.0,0.3949890159769014,1.0,11.0,-0.836358126287856,0.425,0.32,,False
dca,NatGas front (GAS-LAST),step5.0%_tp2%_v1.5_m6_ladder5.0x,125,2008-01-10,2018-05-01,0.864,0.92,0.912,-0.7231449378181024,-0.7974309965503943,-1.0,-1.0,0.3949890159769014,1.0,10.0,-0.8135190571712673,0.5588235294117647,0.272,,True
