strategy,bot,instrument,config,period,net_sharpe,is_sharpe,oos_sharpe,gross_sharpe,cagr_refunded,max_dd,trades_per_year,blow_ups_per_decade,p_stop_out_2y,p_loss50_2y,median_2y_ret,worst_2y_ret,median_win_rate,verdict
Martingale (double after a loss),martingale,"WTI (Dec, CRUDE_W)",step3.0%_base0.5x_k6,1991-2024,0.006248058415394368,0.04547584712031622,-0.048744479349080765,0.10863045863242844,-0.20120801062119287,-0.9998071720039531,108.70115903931173,0.9033337316286294,0.0,0.4666666666666667,-0.032596406387482846,-0.9996919022908534,0.5267857142857143,reject
Martingale (double after a loss),martingale,Brent (BRENT_W),step3.0%_base0.5x_k6,1991-2024,0.03263619254493534,-0.018026997663551193,0.09502969586177228,0.03254040062171198,-0.19778032152681535,-0.9998397803454703,143.8009645924009,0.8893071403364311,0.0,0.5173333333333333,-0.21921025907417868,-0.9974063067356215,0.5301204819277109,reject
Martingale (double after a loss),martingale,NatGas (GAS_US),step5.0%_base0.5x_k6,1991-2024,0.08359890253839297,0.10843424172585286,0.3620045106252064,0.3633226950832304,-0.01813900480598707,-0.9611988435292637,74.89689857502097,0.3017602682313496,0.0,0.4026666666666667,0.3545812562625956,-0.9997614151908113,0.5573770491803278,reject
Martingale (double after a loss),martingale,WTI front (CRUDE_ICE),step3.0%_base0.5x_k6,2006-2024,0.19180652465933185,-0.4454642343801139,0.29561238576803106,0.23129811446107357,-0.01949737063101209,-0.8079809312740209,57.270264459256076,0.0,0.0,0.46113989637305697,-0.09613050406294654,-0.9989108778261231,0.538961038961039,reject
Martingale (double after a loss),martingale,NatGas front (GAS-LAST),step5.0%_base0.5x_k6,2007-2024,0.207252135135985,0.13787742793138472,0.47064728498217223,0.26639361501655745,0.02276177415623759,-0.6231025365235765,39.606617647058826,0.0,0.0,0.4808743169398907,0.22028828001178113,-0.9997529983686283,0.5384615384615384,reject
DCA averaging down (TP on average price),dca,"WTI (Dec, CRUDE_W)",step3.0%_tp2%_v1.5_m6_ladder5.0x,1991-2024,-0.029871166713469805,0.0886471053124961,-0.10273952678329938,0.09063624520918574,-0.3189805643973268,-0.9999996883890874,16.832118532680127,2.4088899510096784,0.5253333333333333,0.592,-0.7895456865259545,-0.8834488315762237,1.0,reject
DCA averaging down (TP on average price),dca,Brent (BRENT_W),step3.0%_tp2%_v1.5_m6_ladder5.0x,1991-2024,-0.09070236938674159,0.13674098902448106,-0.28645080772285214,-0.20176000895851814,-0.44081480751286606,-0.9999999987383407,18.527232090342313,3.5572285613457244,0.5733333333333334,0.7733333333333333,-0.7904456257148209,-0.883358467052326,1.0,reject
DCA averaging down (TP on average price),dca,NatGas (GAS_US),step5.0%_tp2%_v1.5_m6_ladder5.0x,1991-2024,-0.25270053493932476,-0.2596544386631435,-0.2472574708597114,-0.26392378478763295,-0.7231681946765586,-1.0,20.730930427493714,7.845766974015089,0.7626666666666667,0.88,-0.7952736606225843,-0.8194652541459432,1.0,reject
DCA averaging down (TP on average price),dca,WTI front (CRUDE_ICE),step3.0%_tp2%_v1.5_m6_ladder5.0x,2006-2024,-0.43394671509320826,-0.46463614681141147,-0.4350488790319724,-0.3688915568648804,-0.7602908254506424,-0.9999999999992877,20.264029241023437,8.669103418619653,0.7927461139896373,0.844559585492228,-0.7930248894578187,-0.8832132376101471,1.0,reject
DCA averaging down (TP on average price),dca,NatGas front (GAS-LAST),step5.0%_tp2%_v1.5_m6_ladder5.0x,2007-2024,-0.18443885725674514,0.4819335177411285,-0.2058833209367486,-0.2844005671173477,-0.7573962734408243,-0.9999999999816418,17.71875,8.685661764705884,0.8087431693989071,0.9453551912568307,-0.7955151681484494,-0.817782465378424,1.0,reject
"same entries, no doubling (reference)","same entries, no doubling (reference)","WTI (Dec, CRUDE_W)",step3.0%_base0.5x_k0,1991-2024,0.3087596866019886,0.2803503178339922,0.369153670455317,0.41347082471733837,0.04716571861248875,-0.7434667803262514,37.97012785279006,0.0,0.0,0.0,0.00784318692754482,-0.38837141916529616,0.5267857142857143,reference
"same entries, no doubling (reference)","same entries, no doubling (reference)",Brent (BRENT_W),step3.0%_base0.5x_k0,1991-2024,0.29473394232914135,0.1799155153201787,0.5082049193034379,0.3857682127407228,0.03677359494970145,-0.8269592494172398,47.87436772144454,0.0,0.0,0.0,0.01661104296354221,-0.39265438419099474,0.5301204819277109,reference
"same entries, no doubling (reference)","same entries, no doubling (reference)",NatGas (GAS_US),step5.0%_base0.5x_k0,1991-2024,0.31075587560576184,0.3950652154968569,0.49517544571823846,0.49392889808365065,0.030561776254441897,-0.33435254106137813,38.53478625314334,0.0,0.0,0.005333333333333333,0.09331494758722791,-0.47497175129647773,0.5573770491803278,reference
