name,start,end,years,ann_ret,cagr,ann_vol,sharpe,sortino,max_dd,calmar,skew,t_stat,hit_rate,turnover_py,cost_py,gross_sharpe,avg_abs_pos,time_in_mkt,symbol,dataset,is_sharpe,oos_sharpe,sr_1990-1999,sr_2000-2009,sr_2010-2019,sr_2020-2029,lag,cost_mult
crack321_nearWTI_z250,2008-01-01,2024-03-28,16.7,0.0343290048438786,0.03136032402566169,0.08299678577549242,0.41361848562110687,0.509962078511432,-0.2693538490907005,0.11642797803532266,-0.41789502281025137,1.688791407292738,0.515591525827184,,,,,,PORT,fut,,0.4136184856211069,,0.62,0.18,0.82,,
crack321_z250_2008+,2008-01-01,2024-03-28,16.3,0.06112512949878024,0.058577793338461026,0.0915846684610233,0.6674166159677036,0.8269362049400343,-0.19324156905572099,0.3031324658804141,0.03154222117315035,2.6966767320989677,0.5286825473991249,5.345368422268237,0.008417022242724096,0.7591545981612181,0.27315906150680086,1.0,XTIUSD,fut,,0.6674166159677037,,1.7,0.44,0.7,,
crack321_z250_2008+,2008-01-01,2024-03-28,16.6,0.07528020199788261,0.07354503613831986,0.0928537296160334,0.8107396688229925,1.0432576412912407,-0.16755918484276766,0.4389197536818542,0.3486967804662088,3.3070714955116602,0.5208681135225376,4.7767569910651035,0.007703888500340266,0.8935778210997205,0.24684620414939187,1.0,XBRUSD,fut,,0.8107396688229926,,1.81,0.56,0.88,,
crack321_z250_2008+,2008-01-01,2024-03-28,16.7,0.06860934890730436,0.06671302939985257,0.08969850362045895,0.7648884444896753,0.9651075654074484,-0.18810963197553376,0.35464972579676046,0.18482556191043903,3.1230157197929524,0.5263032611283028,,,,,,PORT,fut,,0.7648884444896754,,1.78,0.51,0.84,,
crack321_z250_weekly,1991-10-29,2024-03-28,32.4,0.03824913959730263,0.03476249329005476,0.09027895145863832,0.42367726894598057,0.5310518751815054,-0.29252105702827824,0.11883757580806993,0.0054759613363336455,2.410904307621212,0.5149509803921568,4.5578131489238976,0.008877835104440186,0.5218861062954046,0.29913353910038254,1.0,XTIUSD,fut,0.324880053579079,0.5164311703179247,0.44,0.49,0.28,0.54,,
crack321_z250_weekly,1990-08-23,2024-03-28,34.1,0.051711267857437626,0.0488231276336073,0.08991100155744257,0.575138380862104,0.7267123337829466,-0.3285155325157444,0.14861741014107882,0.2333534025426919,3.3581024344561046,0.5112075198843095,3.6304682971693554,0.007269544003405994,0.655883843335654,0.24355305148944986,0.9658945407985101,XBRUSD,fut,0.440460140467921,0.7059214466627124,0.75,0.44,0.49,0.72,,
crack321_z250_weekly,1990-08-23,2024-03-28,34.4,0.044386483353518996,0.0414567460106221,0.08676999097530548,0.5115418689642515,0.637031961378213,-0.30674030971363053,0.13515258574696518,0.1084074570446033,2.998747241654835,0.5175092625791801,,,,,,PORT,fut,0.3819367059795995,0.638592517283689,0.64,0.43,0.4,0.69,,
crack321_z250,1991-10-29,2024-03-28,32.4,0.04341322358216724,0.04019291928835478,0.08949211921890729,0.4851066659397556,0.6141815711395,-0.3010876678348734,0.13349241294863637,0.014231753080350422,2.760463768753758,0.5099264705882353,6.7002981197440965,0.011563440275918298,0.6141031507527955,0.3006511438564888,1.0,XTIUSD,fut,0.3096352869969955,0.6498909796606079,0.42,0.5,0.42,0.69,,2.0
crack321_z250,1990-08-23,2024-03-28,34.1,0.0585305345438909,0.056093410855623915,0.08890818260102976,0.6583256212371726,0.8431983764603573,-0.3187424207982833,0.17598351269071502,0.26112863853013885,3.843813845335117,0.5049385690195134,5.3561912821818805,0.009764990050499729,0.7679609959546253,0.2442013792029013,0.9663601443370969,XBRUSD,fut,0.5196235376326485,0.7927273849771294,0.83,0.52,0.54,0.87,,2.0
crack321_z250,1990-08-23,2024-03-28,34.4,0.05017414348491352,0.04758248598790593,0.08586893240683649,0.5843107871330526,0.7365576589299513,-0.3053248926029154,0.15584214435404206,0.12268288704600555,3.425331272945827,0.5114084338788675,,,,,,PORT,fut,0.4183861675404437,0.7466363113013261,0.67,0.48,0.49,0.83,,2.0
trend_only,1991-10-29,2024-03-28,32.4,0.07133828261799234,0.05504098320583051,0.18805465565854398,0.379348665249337,0.45052142555790503,-0.46922040162651024,0.11730304781087075,-0.4351349633572377,2.158655651777705,0.5124207858048162,7.148530192036342,0.016710464183161265,0.4681075170692836,0.5801766786095655,0.9669117647058824,XTIUSD,fut,0.5546511606841786,0.1799620978057245,0.27,0.8,-0.03,0.35,,
trend_only,1990-08-23,2024-03-28,34.1,0.09369019404209857,0.0786695919807705,0.18928288204947744,0.49497446904685494,0.6051833930301764,-0.42357982308680675,0.1857255414279926,-0.205755870463504,2.890043552663523,0.5079918279052998,6.053574849856692,0.014472129309981704,0.5712609430226008,0.5004805350409004,0.9685717611453847,XBRUSD,fut,0.5412277137310323,0.44635143495474144,0.74,0.37,0.4,0.43,,
trend_only,1990-08-23,2024-03-28,34.4,0.0836026757914677,0.06975230861733928,0.17953683442800863,0.46565751288764656,0.5576406990176745,-0.44237141755840503,0.15767815425853113,-0.3531896612940012,2.729765180619587,0.5163367517290722,,,,,,PORT,fut,0.5672970432719,0.35188101915930203,0.56,0.58,0.23,0.46,,
trend+crack,1991-10-29,2024-03-28,32.4,0.08304299929686437,0.07285384206014967,0.15921918305435553,0.5215640333270299,0.6155038480763328,-0.30039580766155793,0.24252616115811682,-0.35372132329994277,2.9679217338628456,0.5233206590621039,8.00536200946819,0.014671165021086549,0.6134985474047848,0.48786123850825125,0.9669117647058824,XTIUSD,fut,0.5501434385793437,0.4927833365646332,0.44,0.81,0.28,0.54,,
trend+crack,1990-08-23,2024-03-28,34.1,0.10686667404690241,0.09760860198609689,0.16559736479836823,0.6453404266246842,0.7943988219633169,-0.33746002855495383,0.2892449289596435,-0.006580938067464759,3.7679962419703035,0.5116839315827512,6.698906685246678,0.012916775910935895,0.7231017402366485,0.42766274182460456,0.9663601443370969,XBRUSD,fut,0.6010598210138238,0.6894828584218599,0.85,0.53,0.56,0.66,,
trend+crack,1990-08-23,2024-03-28,34.4,0.09441874415144806,0.08576091478889758,0.15559013580205516,0.6068427388711162,0.7282309780204419,-0.3105265024122219,0.27617905113635205,-0.20587727658467592,3.557417485674467,0.5208557427990916,,,,,,PORT,fut,0.5865756190854969,0.6276566082800308,0.7,0.64,0.45,0.66,,
