name,start,end,years,ann_ret,cagr,ann_vol,sharpe,sortino,max_dd,calmar,skew,t_stat,hit_rate,turnover_py,cost_py,gross_sharpe,avg_abs_pos,time_in_mkt,symbol,dataset,is_sharpe,oos_sharpe,sr_2000-2009,sr_2010-2019,sr_2020-2029,model,target,pooled,lag,blend
lr_y1_per_instr,2005-01-03,2024-03-28,19.2,-0.00835330747036203,-0.01983116794378359,0.15279243816187932,-0.05467094818862655,-0.07058666948975456,-0.6929843500563228,-0.028617050215018276,0.011600767847708379,-0.23976889712435126,0.46884028064383,69.5933322271273,0.07674278055305686,0.44763747935665854,0.29462843737278793,0.9997936868165875,XNGUSD,fut,0.9443060653559721,-0.26012524487289107,0.6,-0.6,0.16,lr,y1,False,1,0.0
lr_y1_per_instr,2005-01-03,2024-03-28,19.7,0.012246031218137785,0.0060176112168586204,0.11173654466604153,0.10959736811925547,0.14248994661846012,-0.4746688561153304,0.012677493244672704,-0.1275407830816943,0.4868655935158078,0.5042236524537409,,,,,,PORT,fut,0.8042183042741097,-0.02637696688342142,0.52,-0.3,0.44,lr,y1,False,1,0.0
lr_y1_per_instr,2005-01-03,2024-03-28,19.3,0.006717242732684638,-0.007205907987699933,0.16677814061265364,0.04027651770195472,0.048549302120938054,-0.6818494469510883,-0.010568180439129755,-0.3611998024480631,0.17698550379277447,0.5034950657894737,96.95321133452865,0.04198460092305954,0.2919978722161413,0.48643340946593316,0.9995889847924373,XTIUSD,fut,-0.2154652827568702,0.08620457230226418,-0.28,-0.16,0.78,lr,y1,False,2,0.0
lr_y1_per_instr,2005-01-04,2024-03-28,19.7,-0.014417776674657518,-0.02590665851014029,0.15358478048264027,-0.0938750352043324,-0.1168116649250604,-0.7865040887323239,-0.03293900042134081,-0.39704405038049445,-0.4164766723191901,0.4870915691811214,83.68303090965351,0.04014617250220602,0.16755371514563763,0.43159038549757567,0.9995967741935484,XBRUSD,fut,-0.29194657018474807,-0.05850156951462597,-0.3,-0.38,0.76,lr,y1,False,2,0.0
lr_y1_per_instr,2005-01-03,2024-03-28,19.2,-0.08562156191624297,-0.09272926819939875,0.15254772545498474,-0.5612772111866657,-0.6946269275063448,-0.913287610505267,-0.10153347875604843,-0.4203742006509416,-2.4615782671802107,0.4633642930856553,69.58092729702769,0.07695710932925726,-0.05685659935728824,0.29461960782843727,0.9995873736331752,XNGUSD,fut,-0.16716319066499427,-0.6486757804970759,-0.13,-1.18,0.1,lr,y1,False,2,0.0
lr_y1_per_instr,2005-01-03,2024-03-28,19.7,-0.03117480971109227,-0.03690852010299184,0.11331702270738514,-0.27511144368480245,-0.36348479997678396,-0.8105413630986984,-0.04553564047847061,-0.2395086866882902,-1.2221305913737484,0.484007242003621,,,,,,PORT,fut,-0.24493217777483556,-0.28124862779711446,-0.41,-0.77,0.93,lr,y1,False,2,0.0
lr_y1_per_instr,2005-01-03,2024-03-28,19.3,0.03258829201825374,0.024100420794635813,0.13218543251363624,0.24653467026248851,0.28811439933012667,-0.48182543038384984,0.05001898877657004,-0.687366436089628,1.0833375204300357,0.5110974106041923,44.99350887804208,0.02262241377290269,0.4176111945296047,0.3721260441200804,0.9997944923962186,XTIUSD,fut,1.0138270480557487,0.11594904045849913,0.75,-0.18,0.5,lr,y1,False,1,0.5
lr_y1_per_instr,2005-01-04,2024-03-28,19.7,0.06760347956376116,0.061020531000792966,0.12915017329470346,0.5234486167471029,0.6331323928506403,-0.33945765427531094,0.1797588896060166,-0.5547482727952803,2.3222802266694167,0.5074596774193548,38.7674896019378,0.02151575870291709,0.6896563106331774,0.329730156470456,0.998991935483871,XBRUSD,fut,0.5541864434679563,0.5190844493928004,0.64,0.48,0.48,lr,y1,False,1,0.5
lr_y1_per_instr,2005-01-03,2024-03-28,19.2,0.044596361008702935,0.035106329970975736,0.14197329420589452,0.31411795618426497,0.38976020766950187,-0.3957626736739065,0.08870551041380427,-0.17638018573677453,1.377618614943371,0.4939087342556267,31.83440692148446,0.038127226571156435,0.582658285217337,0.2533118973538766,0.997524241799051,XNGUSD,fut,0.7527526764311547,0.23112121162062144,0.68,-0.19,0.74,lr,y1,False,1,0.5
lr_y1_per_instr,2005-01-03,2024-03-28,19.7,0.0505801142273703,0.04670704142587301,0.0992267783929602,0.5097425820584617,0.6469818352165111,-0.3116173160133292,0.14988589858682677,-0.22970742652723353,2.2644350773471773,0.5218178162075207,,,,,,PORT,fut,0.9980419060314096,0.4191199481101194,0.83,0.1,0.89,lr,y1,False,1,0.5
lr_y1_per_instr,2005-01-03,2024-03-28,19.3,0.03637500643260652,0.027524769807636185,0.13555527591082456,0.2683407649624492,0.3151638598188008,-0.47524080296893123,0.05791752230802373,-0.5738173879367967,1.179159177227296,0.5123304562268804,44.98291619731543,0.023258369857420778,0.439730380204461,0.3719376571516208,0.9997944923962186,XTIUSD,fut,0.603543179220792,0.2121667938421854,0.4,-0.07,0.69,lr,y1,False,2,0.5
lr_y1_per_instr,2005-01-04,2024-03-28,19.7,0.03718382599527903,0.02909997642205875,0.1302020984005089,0.2855854586989798,0.3488203405393694,-0.36015858396917755,0.08079767557212833,-0.41578003554052223,1.2670001267409534,0.4971774193548387,38.760082437850926,0.021860895007103226,0.4533485603564513,0.3295634257838302,0.998991935483871,XBRUSD,fut,0.08937318400294354,0.31680853166167633,0.19,0.11,0.75,lr,y1,False,2,0.5
