strategy,variant,blend,instrument,period,net_sharpe,sr_2005_2007,sr_2008_2024,sr_2010s,sr_2020s,gross_sharpe,cagr,max_dd,turnover_py,oos_accuracy,oos_auc,verdict
"LightGBM, next-day target, per-instrument",lgbm_y1_per_instr,0.0,XTIUSD,2005-2024,0.07963786976866458,0.1562905726990097,0.06603595778518932,0.05,0.18,0.334857710624503,-0.000555388858829442,-0.5034966914409005,101.32085928094827,0.518191161356629,0.5154907206975243,
"LightGBM, next-day target, per-instrument",lgbm_y1_per_instr,0.0,XBRUSD,2005-2024,0.1723791232359139,0.42442844119667594,0.12884654696881245,0.23,-0.17,0.40074815856997326,0.014861020200861441,-0.5472780399922279,74.30819109563505,0.514216575922565,0.5197818791946308,
"LightGBM, next-day target, per-instrument",lgbm_y1_per_instr,0.0,XNGUSD,2005-2024,-0.17549187479637418,0.5814913140693113,-0.33398705788338595,-0.93,0.48,0.26500637943347416,-0.03864377703404309,-0.7907917174387153,61.026078241392106,0.5061906727197689,0.5028541338840808,
"LightGBM, next-day target, per-instrument",lgbm_y1_per_instr,0.0,PORT,2005-2024,0.07508583119956998,0.5684389007437795,-0.015187029076212626,-0.19,0.29,,0.0021501116684081722,-0.43834854938226187,,0.5128834355828221,0.5179589543187086,
"50/50 blend: trend + LightGBM, next-day target, per-instrument",lgbm_y1_per_instr,0.5,XTIUSD,2005-2024,0.31299425704093425,0.9461350778737374,0.2111371947807459,0.07,0.38,0.4951595178492133,0.032081532940149815,-0.41056025802795637,47.10134410339448,0.518191161356629,0.5154907206975243,
"50/50 blend: trend + LightGBM, next-day target, per-instrument",lgbm_y1_per_instr,0.5,XBRUSD,2005-2024,0.44509389530056054,0.5911673378092153,0.42605478381430295,0.47,0.25,0.5971423942595989,0.051317236818390954,-0.37423884331487756,34.35309366742973,0.514216575922565,0.5197818791946308,
"50/50 blend: trend + LightGBM, next-day target, per-instrument",lgbm_y1_per_instr,0.5,XNGUSD,2005-2024,0.2494262464895794,0.5186557890474333,0.1950323709792215,-0.38,0.89,0.4991241834270369,0.025001816848079006,-0.49092328371437355,27.67095371186628,0.5061906727197689,0.5028541338840808,
"50/50 blend: trend + LightGBM, next-day target, per-instrument",lgbm_y1_per_instr,0.5,PORT,2005-2024,0.4987002534502387,0.9175285726079816,0.42742245355346736,0.16,0.82,,0.044476011000141646,-0.2622687352089441,,0.5128834355828221,0.5179589543187086,
"LightGBM, next-day target, pooled",lgbm_y1_pooled,0.0,XTIUSD,2005-2024,-0.0707521264365396,0.4243952169864169,-0.15486327380418463,-0.24,0.1,0.17734512114982914,-0.02485698505221423,-0.670145719738925,96.39474623035129,0.5134635149023639,0.5191380206981688,
"LightGBM, next-day target, pooled",lgbm_y1_pooled,0.0,XBRUSD,2005-2024,0.12430230322476697,0.44155848432409833,0.07285852837876355,0.13,-0.01,0.3496775643653605,0.00691656763813997,-0.519864670476045,74.98839817037488,0.5085702762653761,0.5156349775200365,
