sym,event,time,window,n_events,rms_event_bps,rms_normal_bps,ratio_vs_normal,p99_abs_event_bps,p99_abs_normal_bps,share_event_gt_1pct,share_normal_gt_1pct
XNGUSD,gas,10:35,T->T+1,26,160.13384411309787,13.255349333681789,12.080695882242683,346.15999000137197,42.11126589221974,0.6538461538461539,0.0013186813186813187
XNGUSD,gas,10:35,T->T+5,26,211.14485969520896,25.371496471018894,8.322128729631437,501.55826719666453,85.66536690769904,0.6923076923076923,0.003956043956043956
XNGUSD,gas,10:35,T->T+15,26,253.24649898307965,40.41721077378802,6.265808405247967,544.7240941069715,134.3780190192668,0.7692307692307693,0.03164835164835165
XNGUSD,gas,10:35,T->T+60,26,286.20685197027933,77.7002719641876,3.6834729755153663,606.8415164510196,258.6757286250543,0.6153846153846154,0.15868131868131868
XNGUSD,gas,10:35,T->14:30,26,328.7425586078703,162.8480776639645,2.018707026350213,684.0142896933221,551.1381470247309,0.8461538461538461,0.4351648351648352
XNGUSD,gas,10:35,09:00->14:30,26,393.3226556258621,208.8743235849363,1.8830589077451738,817.9842319906909,634.8119376655546,0.8461538461538461,0.5542857142857143
XNGUSD,crude,10:30,pre T-30->T,609,55.39765094986466,56.35065642682429,0.9830879436480535,188.16847455799567,178.86710181222685,0.0629575402635432,0.06285714285714286
XNGUSD,crude,10:30,T->T+1,683,33.105309770999476,17.16160280734961,1.9290336772519774,123.18654993443229,48.918137402411695,0.02635431918008785,0.0035164835164835165
XNGUSD,crude,10:30,T->T+5,683,42.45986104259734,27.857552403748986,1.5241777320280017,169.14114206743272,89.12349642880162,0.03367496339677892,0.009230769230769232
XNGUSD,crude,10:30,T->T+15,683,52.88422850253899,43.41513203866289,1.2181059003907553,200.58480117244696,145.08650303488696,0.06881405563689605,0.03164835164835165
XNGUSD,crude,10:30,T->T+60,683,86.17450678817062,76.52725118797082,1.126063009587312,276.37786972572,259.7521952774334,0.19326500732064422,0.14813186813186813
XNGUSD,crude,10:30,T->14:30,683,180.73555377112436,164.08519245115215,1.1014738811665103,627.1169842726686,549.898613556957,0.47144948755490484,0.43648351648351646
XNGUSD,crude,10:30,09:00->14:30,683,217.09757546208172,208.8743235849363,1.0393693764557017,685.8592748208711,634.8119376655546,0.5739385065885798,0.5542857142857143
XNGUSD,crude,10:35,pre T-30->T,29,60.16622631076168,58.566735568905706,1.0273105667631777,176.53952969365105,175.38468047927987,0.10344827586206896,0.08879120879120879
XNGUSD,crude,10:35,T->T+1,29,61.377442194609756,13.255349333681789,4.6303903917982705,158.4509434126538,42.11126589221974,0.10344827586206896,0.0013186813186813187
XNGUSD,crude,10:35,T->T+5,29,62.431352098689786,25.371496471018894,2.4606885987195617,194.09599094823614,85.66536690769904,0.10344827586206896,0.003956043956043956
XNGUSD,crude,10:35,T->T+15,29,72.95055266434947,40.41721077378802,1.8049378289028413,134.69571437631447,134.3780190192668,0.2413793103448276,0.03164835164835165
XNGUSD,crude,10:35,T->T+60,29,121.6895209026764,77.7002719641876,1.5661402183864124,320.76740457105666,258.6757286250543,0.3103448275862069,0.15868131868131868
XNGUSD,crude,10:35,T->14:30,29,220.77136929706833,162.8480776639645,1.355689133479537,589.528994974742,551.1381470247309,0.6206896551724138,0.4351648351648352
XNGUSD,crude,10:35,09:00->14:30,29,282.4849852747962,208.8743235849363,1.3524160386325657,638.5065268623025,634.8119376655546,0.7241379310344828,0.5542857142857143
XNGUSD,crude,11:00,pre T-30->T,86,177.84418444581632,56.60408220965692,3.141896794423694,482.7809617983386,187.93723963359082,0.4883720930232558,0.07384615384615385
XNGUSD,crude,11:00,T->T+1,86,31.542644563840437,11.929240668917519,2.6441452091772306,129.68172689557352,40.306510993863974,0.03488372093023256,0.0
XNGUSD,crude,11:00,T->T+5,86,42.71782467551041,24.199962703880775,1.7652020872189218,129.68780655777957,81.24375263564724,0.05813953488372093,0.0035164835164835165
XNGUSD,crude,11:00,T->T+15,86,53.38386116955405,39.43983940959677,1.3535516870427298,159.2059928523777,124.28810635038215,0.09302325581395349,0.026813186813186812
XNGUSD,crude,11:00,T->T+60,86,103.44022535290888,81.22600187263058,1.2734866048819211,309.624375122825,288.1986622005879,0.3023255813953488,0.15604395604395604
XNGUSD,crude,11:00,T->14:30,86,193.88974064125313,157.296739431256,1.2326367434080827,524.1458007683651,534.5795225071962,0.4418604651162791,0.4158241758241758
XNGUSD,crude,11:00,09:00->14:30,86,297.66159051679267,208.8743235849363,1.425075066231164,1214.14455113414,634.8119376655546,0.5930232558139535,0.5542857142857143
