sub,sym,best_config,n_trials_sub,n_trials_family,is_sharpe,oos_sharpe,full_sharpe,is_gross_sharpe,oos_gross_sharpe,full_gross_sharpe,full_trades_py,oos_trades_py,full_avg_bps,oos_avg_bps,full_avg_gross_bps,full_hit,oos_hit,full_max_dd,full_t_stat,oos_t_stat,full_ann_ret,full_ann_vol,is_sharpe_0x,oos_sharpe_0x,full_sharpe_0x,is_sharpe_2x,oos_sharpe_2x,full_sharpe_2x,oos_ex2020_sharpe,full_ex2020_sharpe,sr0_is_family,dsr_is_family,dsr_full_family,dsr_full_global,dsrN_is_family,dsrN_full_family,dsrN_full_global,share_family_trials_oos_net_pos,full_ci_lo,full_ci_hi,oos_ci_lo,oos_ci_hi
C2 EIA fade,XNGUSD,eia_fade|w5|k2|14:30,32,50,-0.557558102578282,-0.4088820695474595,-0.4908957230655507,-0.3238861945826232,-0.0262844517225672,-0.2096228889998433,9.238689547581902,9.31304347826087,-39.83306199518773,-24.56549968209506,-16.833061995187737,0.3617021276595745,0.3529411764705882,-0.5590370918558063,-1.9177571821215929,-1.104858617162224,-0.0368005293503122,0.0749660826549882,-0.3238861945826232,-0.0262844517225672,-0.2096228889998433,-0.7817215052261464,-0.7735285762396023,-0.7602556371130765,-0.7449224140977828,-0.6016694841800518,1.6970462622380211,2.292762771106055e-10,7.871135633160915e-15,1.498895954803504e-57,8.090478107529716e-05,1.965836262522125e-05,1.3667654737113106e-07,0.02,-0.9722782083332869,-0.031017727741965425,-1.163473173636662,0.31937924760322306
E1 z-score fade,XTIUSD,mr|15m|pxz|4h|z3|mean,28,32,0.0182001648164786,-0.5480077601504069,-0.2262635079458748,0.4929501325095022,-0.1093583929017854,0.2318649468295143,42.109147609147605,36.4304347826087,-2.9633256617978665,-7.488414504793761,3.036674338202133,0.4758942457231726,0.4511278195488721,-0.3144895480353148,-0.8841618610067327,-1.4807963986879311,-0.0124783117706621,0.0551494665840994,0.4929501325095022,-0.1093583929017854,0.2318649468295143,-0.4569747977683761,-0.9787304483245632,-0.6814592176414233,-0.8054111196368687,-0.308926436232163,2.2673373481882297,1.0391863320409542e-10,2.400831824381842e-16,4.0521538112690677e-51,0.020127175586829135,0.0016606907639881846,1.711764662153801e-05,0.0,-0.7725003464927327,0.3028439269715435,-1.3715403751374247,0.17515397621945003
C2 EIA fade,XTIUSD,eia_fade|w15|k2|14:30,32,50,0.367866750337279,-0.6457611200421804,-0.1453591161402876,0.4920494810841254,-0.5455948292388403,-0.0308080497648493,10.478170478170478,9.997826086956522,-8.88041587501354,-43.71833603703787,-1.880415875013544,0.4125,0.3561643835616438,-0.4180066151659365,-0.5680146472034473,-1.7449401459364275,-0.0093050511455443,0.0640142248564853,0.4920494810841254,-0.5455948292388403,-0.0308080497648493,0.2421560985392398,-0.7440189374686081,-0.2593881810384479,-1.0450436142153747,-0.13830954414416038,0.6202202900544871,0.22654696802833474,0.002825014212974655,7.870970361922579e-54,0.09605202567644738,0.0016615712302281904,2.907521764955242e-05,0.18,-0.6169877198708191,0.3925298752202567,-1.331155648773973,-0.01438384476087904
D1 session hold,XTIUSD,session|overnight_1430_0900|long,12,32,-0.3109514884028191,-0.7520801810671379,-0.5461136442068018,0.5152984440908697,-0.115821623965238,0.1707333247300037,251.93451143451145,252.0,-5.331962368696163,-8.276618195423534,1.6666809434737846,0.4824538601507668,0.4728260869565217,-0.965031936143912,-2.1340288602727715,-2.032229659198848,-0.1343305334344668,0.245975420792817,0.5152984440908697,-0.115821623965238,0.1707333247300037,-1.1374079262035184,-1.387870237956909,-1.2627089240267295,-1.1193061158070126,-0.6814762701500211,1.334386412359845,1.7835006775305774e-06,7.638386246951639e-14,7.65184871973884e-62,0.0014785609195638726,1.0655219156174098e-05,2.100418326583736e-08,0.1875,-1.103213949880206,-0.04999955680828216,-1.690646880508237,0.10238775359783371
C3 EIA pre-report drift,XNGUSD,eia_pre|short|09:00->T-1,2,50,0.6883278571343591,-1.1206771215948372,-0.0528320237751983,1.9575628353468817,0.62550862832631,1.4044831109196951,48.748829953198126,48.619565217391305,-0.7135684148415925,-12.86915358488718,19.28643158515841,0.461021505376344,0.3971830985915493,-0.5231742503509671,-0.2063961617106532,-3.0282320186380662,-0.0034785625315085,0.0658419322778539,1.9575628353468817,0.62550862832631,1.4044831109196951,-0.6383361856129853,-2.710441017089369,-1.5046461409892409,-1.1745257199935226,-0.042134905222551006,1.6970462622380211,0.001602926599899079,5.13167357197222e-10,5.205829195328525e-48,0.36439529187674163,0.006660909500358397,0.00021420448902961017,0.02,-0.6916520211311415,0.5352884227144913,-2.0336957505965487,-0.2313027954411832
E1 z-score fade,XNGUSD,mr|5m|pxz|1h|z3|time30,28,32,-0.5706599818227668,-1.1763034065056686,-0.6987215936074437,0.0270511484277759,-0.1986458778455286,-0.0337171728374591,13.956318252730108,11.778260869565218,-20.996342748133088,-23.792129555168017,-0.9963427481330772,0.3568075117370892,0.3720930232558139,-0.377580583109277,-2.729659867631783,-3.178542303196336,-0.0293031641536347,0.0419382546950421,0.0270511484277759,-0.1986458778455286,-0.0337171728374591,-1.1340239824625629,-1.92308537599936,-1.3049797344832712,-1.2365734551318133,-0.7146048100703585,4.436901991885297,8.6290461222698e-40,1.9065426163723792e-81,1.166539769429468e-54,0.00027695266018083335,5.663561871993438e-06,1.843814422958415e-08,0.0,-1.2318125527532462,-0.21951511702392876,-1.842158838834466,-0.513946765286225
D1 session hold,XNGUSD,session|ny_main|short,12,32,-1.0198576708427258,-1.215152260605516,-1.076807421804849,0.1879499315097238,0.5495750674959043,0.3218864691857906,251.93447737909517,251.8630434782609,-15.397329806062707,-13.771563698007103,4.602670193937306,0.4730819245773732,0.4709081022294725,-0.9991694353135498,-4.2067084105606085,-3.283517537905454,-0.3879118237723973,0.3602425242595506,0.1879499315097238,0.5495750674959043,0.3218864691857906,-2.2276652731951745,-2.979855078012134,-2.475494788720011,-1.3573632113789986,-1.1191997849557587,3.614004336025049,6.432949611065793e-40,1.242282022529965e-75,3.6712385122963207e-78,2.6543627000574277e-07,1.0892464355951557e-10,1.6889448712065182e-14,0.0625,-1.501613240506334,-0.6892104305155224,-1.8223421156749742,-0.5887946530806584
C3 EIA pre-report drift,XTIUSD,eia_pre|short|09:00->T-1,2,50,-0.2229645115329976,-1.256252188739606,-0.6838188907490539,0.373141545104401,-0.5837730009087018,-0.0525046990628595,52.32536382536382,52.45434782608696,-6.497098080380932,-11.117462282473324,-0.4970980803809311,0.4267834793491865,0.4073107049608355,-0.4275532139792688,-2.672134753523192,-3.3945755009361047,-0.0339963020865005,0.0497153596462669,0.373141545104401,-0.5837730009087018,-0.0525046990628595,-0.8154830672998611,-1.9033967893223165,-1.3029198856167283,-1.1863584477056281,-0.6144724512382372,0.6202202900544871,0.008783366916797018,7.042806382122786e-07,2.490942398303651e-66,0.0018687236164593893,3.04146968550264e-07,7.366190319098886e-10,0.18,-1.183342607839147,-0.18835596487843012,-1.8287239104258193,-0.6483847097553581
E2 VWAP fade,XTIUSD,mr|5m|vwap|day|d0.5|vwap,4,32,-0.8039247903343376,-1.2861371786722984,-1.0615186570356987,0.021426501397055,-0.6573920394954489,-0.3647310163421729,132.87629937629936,143.9413043478261,-9.056943130698436,-12.044200565980187,-3.056943130698436,0.468703794972893,0.4509990485252141,-0.8782763155026158,-4.148058694124751,-3.47532907540193,-0.1203453086868803,0.1133708841471951,0.021426501397055,-0.6573920394954489,-0.3647310163421729,-1.5917895837702396,-1.884513982900496,-1.725359353955045,-1.6748771123421164,-1.2143691266392131,2.2673373481882297,2.3793546152517855e-20,1.3664229112882367e-39,6.657929062168448e-99,1.9038393764765975e-06,5.508112567265864e-13,8.366575044303211e-18,0.0,-1.5396861654882306,-0.6504263985636615,-1.9508969569973533,-0.84333769201787
B  intraday momentum,XNGUSD,mom|on1000|q0.8|14:30,44,44,-0.006834712589377,-1.304997700728745,-0.6699394208262103,1.2476491528676763,0.3975389317078538,0.8170452337219138,45.53822152886115,55.46739130434783,-9.000867712815516,-15.36934169140264,10.999132287184487,0.437410071942446,0.3901234567901234,-0.5791685138210191,-2.617218027186365,-3.526292939729134,-0.0409883507858166,0.0611821748528655,1.2476491528676763,0.3975389317078538,0.8170452337219138,-1.2605680068863143,-2.8596240902082943,-2.0811430060433644,-1.488795458686773,-0.6964481285780192,2.1073475733299234,1.2522493796645076e-09,4.954890568600912e-32,2.576303007040659e-64,0.012374470002603926,7.079448101118189e-07,1.6342758989925211e-09,0.0,-1.2301918151369617,-0.14044859897702092,-2.334368444069971,-0.5164856191777606
A1 ORB opening range,XNGUSD,orb|09:30|60|16:55|mid|narrow0.75,450,486,0.2757364732069797,-1.634940400705305,-0.3904145582480459,1.7009250923690733,0.7577806435240468,1.3265760454758813,79.4789391575663,79.1608695652174,-5.716437530513737,-17.296708650060943,19.40804721804355,0.2605111294311624,0.2474048442906574,-0.6877049755019021,-1.525212561253136,-4.417845938476026,-0.045433639068573,0.1163728096422757,1.7009250923690733,0.7577806435240468,1.3265760454758813,-1.1452241708385231,-3.759185891356727,-2.053068303524,-1.6668484916273183,-0.37431756408640615,2.1425117426582583,1.8376356172916826e-08,3.1860025544712895e-19,1.5795731505244485e-50,0.008904276981078544,8.952443462223191e-06,2.623101550151123e-06,0.0,-0.9965885269093272,0.13690361258238415,-2.550236646206876,-0.7997743815000129
A2 ORB Crabel stretch,XNGUSD,stretch|08:00|k2.0|16:55|none|none,36,486,-6.532352677023625e-05,-2.2770390816419286,-0.8921893391924384,1.3959411961762531,-0.3084136612156312,0.7088629928465426,215.37285491419652,216.9391304347826,-12.81735445502116,-26.59647254737161,10.182645544978826,0.4657742622452084,0.4242424242424242,-0.99391853369033,-3.4854704016643905,-6.152889643098495,-0.2760510221425103,0.3094085638731985,1.3959411961762531,-0.3084136612156312,0.7088629928465426,-1.3960715735427072,-4.228776633136527,-2.4886231272401176,-2.308172026859755,-0.8377791276904502,2.1425117426582583,7.537084914753172e-10,1.063937949415833e-30,7.380630810638988e-72,0.0011666357548078704,2.90251757388773e-11,4.188115990611826e-12,0.0,-1.422270987519198,-0.3735983687445471,-2.80735393269718,-1.7405235968515655
E2 VWAP fade,XNGUSD,mr|5m|vwap|day|d0.5|vwap,4,32,-1.468484004337465,-2.770493690601152,-1.9789251228670368,0.3188872447134728,-0.1464761642458088,0.1330701416860782,131.04524180967238,138.6,-18.81865026017229,-21.0023184878308,1.181349739827715,0.397,0.3695652173913043,-0.9795000857448982,-7.730965435101875,-7.486275520083574,-0.2466094573875931,0.1246178819693334,0.3188872447134728,-0.1464761642458088,0.1330701416860782,-2.9884631225690472,-4.666172245365876,-3.676598269085632,-2.967410357311276,-2.0250665853089482,4.436901991885297,1.012838648952062e-74,5.161023409632326e-186,6.405923063202844e-135,3.979572101187603e-12,2.050376501845534e-28,2.0110691906015999e-35,0.0,-2.3998775013003497,-1.548863095454323,-3.367576260324061,-2.1345238904626456
D4 walk-forward session pick,XNGUSD,session_walkforward|sessions,2,32,-2.125882771889956,-3.876322153638765,-3.0368394245802497,2.613338379677263,1.2741364073013877,1.883075270938326,186.54290171606863,217.35,-12.363926982838858,-15.068199196920547,7.636073017161148,0.3691605198454513,0.3490863264020163,-0.9722744322520828,-11.863865060932897,-10.474384311067256,-0.2306402815984358,0.0759474734592906,2.613338379677263,1.2741364073013877,1.883075270938326,-6.551314308607766,-8.837664507821046,-7.666348808447436,-4.066264601804757,-3.105109771891955,3.614004336025049,6.933407940102546e-57,1.0128656123767302e-137,5.360826114212999e-141,1.1270131993581307e-15,1.5102726779039722e-41,8.638425645990762e-49,0.0625,-3.72238616270498,-2.414870313041517,-4.90817712737092,-3.0654338857445014
