dataset,symbol,period,effect,n_on,mean_on_bp,mean_off_bp,diff_bp,t_diff,p_diff,t_on_vs_0,p_on_vs_0,vol_ratio,hit_on,p_bh,p_holm
fut,XBRUSD,2008-2024,opt_exp,196,17.305285625945416,0.7210441417167558,16.584241484228663,1.0043883673722045,0.316313266126716,1.075724079883206,0.28337981965629283,0.9698873474983064,0.5561224489795918,,
fut,XBRUSD,2008-2024,roll_win,975,-0.663494513877,2.1974358362330353,-2.860930350110035,-0.33676799224091064,0.7363350625064081,-0.08956118545418383,0.9286543424217635,0.996700317110904,0.5230769230769231,,
fut,XBRUSD,2008-2024,dow0,764,-19.248145779549386,6.283704926434564,-25.531850705983953,-2.49648506512732,0.012697550340735029,-2.0349338768413294,0.042202726628943234,1.165534823062296,0.46465968586387435,,
fut,XBRUSD,2008-2024,dow1,841,-3.0743271079900616,2.703326773074371,-5.777653881064433,-0.6492148308426772,0.5163122913358622,-0.38868576270596333,0.6976071129316171,0.9863709547228047,0.5219976218787158,,
fut,XBRUSD,2008-2024,dow2,842,8.330425694433208,-0.2505126254357334,8.580938319868942,0.9423855616013964,0.3461723349946949,1.021226836197437,0.3074406506880444,1.0263670455742877,0.5403800475059383,,
fut,XBRUSD,2008-2024,dow3,826,9.923810307206015,-0.6115664315712425,10.535376738777257,1.218379600230855,0.22329272031309588,1.3048520644635502,0.19230706957334276,0.9296744316930344,0.5387409200968523,,
fut,XBRUSD,2008-2024,dow4,818,10.122383422496949,-0.6354435456554974,10.757826968152445,1.2698358737246367,0.20435792195323543,1.3692104083170227,0.17130978352226972,0.8932998135558784,0.5220048899755502,,
fut,XBRUSD,full,dow_anova,8654,,,,,0.024444482208500443,,,,,,
fut,XNGUSD,full,tom,1592,-5.391127243109814,-2.9952851332245385,-2.395842109885276,-0.30493884460610626,0.7604399841749794,-0.7567629747975984,0.4493039254562255,1.0384688933627575,0.4886934673366834,0.8473474109378342,1.0
fut,XNGUSD,full,eia,1574,-26.133790364428457,1.7702551466611098,-27.904045511089564,-3.3848478996651625,0.000724722173467537,-3.450998566959052,0.0005732898194835177,1.1149442281065436,0.44790343074968236,0.028264164765233944,0.028264164765233944
fut,XNGUSD,full,pre_hol,291,4.875872077582927,-3.74663127319775,8.622503350780677,0.5804002021884568,0.5620578697427826,0.33544366669043446,0.7375329660026113,0.8962143526402477,0.5085910652920962,0.8051189082655851,1.0
fut,XNGUSD,full,post_hol,276,-42.737801320168295,-2.11632274641138,-40.62147857375692,-1.8078989011785582,0.0716757569032523,-1.9194299715051255,0.05596461564886066,1.3605197586130886,0.463768115942029,0.26703400466109006,1.0
fut,XNGUSD,full,exp_week,1998,-8.05958055500007,-2.0130037973301564,-6.046576757669914,-0.8613669343382293,0.38909732216582926,-1.318502027650303,0.18748683970422406,0.9881835659097278,0.484984984984985,0.6791471373282387,1.0
fut,XNGUSD,full,ltd,398,-9.178892852523031,-3.1640435226803336,-6.014849329842697,-0.4393679417001058,0.660610386269198,-0.6881894636029625,0.4917353906781359,0.9633717981057414,0.48743718592964824,0.8051189082655851,1.0
fut,XNGUSD,full,opt_exp,399,-4.181770499920092,-3.411996244316698,-0.7697742556033945,-0.058051430470446995,0.9537337244321608,-0.32428570257007405,0.7458921025681434,0.931223321524827,0.49624060150375937,0.9788319803382702,1.0
