variant,feature,importance_share
lr_y5_per_instr,tom_next,0.0032499990889182056
lr_y5_per_instr,x_XNGUSD_ret_1,0.0009314952004565834
lr_y5_pooled,ma_dist_200,0.07916724304020667
lr_y5_pooled,x_rb_ret_20,0.06673315091913085
lr_y5_pooled,ewmac,0.05823039339404328
lr_y5_pooled,carry_z,0.05659780790082963
lr_y5_pooled,ret_250,0.03776772371968879
lr_y5_pooled,x_rb_crack_rel_20,0.03301173905699337
lr_y5_pooled,x_ho_ret_20,0.03158053160701923
lr_y5_pooled,ret_120,0.028480791973412377
lr_y5_pooled,ma_dist_100,0.026748720647403888
lr_y5_pooled,x_XNGUSD_ret_5,0.026280571401505023
lr_y5_pooled,ma_dist_50,0.024684650804016463
lr_y5_pooled,x_ho_ret_5,0.02266632871727423
lr_y5_pooled,sym_XNGUSD,0.022004889317477773
lr_y5_pooled,logvol_20,0.02025974849555836
lr_y5_pooled,x_XBRUSD_ret_60,0.019785182032476943
lr_y5_pooled,month_next_3,0.018903404047656724
lr_y5_pooled,ma_dist_10,0.017484160520841664
lr_y5_pooled,month_next_11,0.016511619248578826
lr_y5_pooled,carry,0.015927139909321788
lr_y5_pooled,sym_XTIUSD,0.015879245372680463
lr_y5_pooled,x_XTIUSD_ret_5,0.015718694155240846
lr_y5_pooled,month_next_4,0.015373130890395884
lr_y5_pooled,ma_dist_20,0.015246681893058991
lr_y5_pooled,month_next_9,0.014685693369102188
lr_y5_pooled,x_XBRUSD_ret_20,0.014631944259077477
lr_y5_pooled,x_XBRUSD_ret_1,0.014189596256099187
lr_y5_pooled,vr_20_250,0.01380126271799612
lr_y5_pooled,month_next_10,0.013046211501458741
lr_y5_pooled,ret_20,0.011496093834842831
lr_y5_pooled,x_ho_crack_rel_20,0.011408138470896846
lr_y5_pooled,vr_20_120,0.011222511361103677
lr_y5_pooled,x_rb_ret_1,0.011158901679343329
lr_y5_pooled,ret_10,0.011049455931880647
lr_y5_pooled,x_rb_ret_5,0.010528624424927713
lr_y5_pooled,vr_5_60,0.010292333347996074
lr_y5_pooled,x_wti_brent_spread_d5,0.010145336615115587
lr_y5_pooled,x_XBRUSD_ret_5,0.01001405510831327
lr_y5_pooled,x_wti_brent_spread_d20,0.008272353978759667
lr_y5_pooled,carry_d20,0.007850835648077701
lr_y5_pooled,ret_1,0.007236484289112061
lr_y5_pooled,ret_60,0.006997859134341167
lr_y5_pooled,x_ho_ret_1,0.006870159258366555
lr_y5_pooled,x_XNGUSD_ret_60,0.006486011118964952
lr_y5_pooled,ret_5,0.006414266328108329
lr_y5_pooled,month_next_2,0.006329192770354729
lr_y5_pooled,x_XTIUSD_ret_60,0.006221866865988089
lr_y5_pooled,sym_XBRUSD,0.0060817118087245605
lr_y5_pooled,carry_deseason,0.0059560437017621365
lr_y5_pooled,x_XNGUSD_ret_20,0.005837368747034613
lr_y5_pooled,month_next_7,0.005832770138177232
lr_y5_pooled,pre_hol_next,0.0057194489072322306
lr_y5_pooled,x_XTIUSD_ret_20,0.005700109038020794
lr_y5_pooled,month_next_12,0.005350232858606545
lr_y5_pooled,month_next_8,0.0042476853809091915
lr_y5_pooled,dow_next_3,0.0042468736477109725
lr_y5_pooled,ret_2,0.004205304438825077
lr_y5_pooled,x_XTIUSD_ret_1,0.0040980543208020675
lr_y5_pooled,eia_next,0.00409121055661771
lr_y5_pooled,month_next_5,0.0040471157993152524
lr_y5_pooled,month_next_6,0.004022190712662609
lr_y5_pooled,carry_d5,0.004007186116028082
lr_y5_pooled,tom_next,0.002979604370593422
lr_y5_pooled,dow_next_2,0.0029369032422245003
lr_y5_pooled,dow_next_4,0.0027219730991573966
lr_y5_pooled,x_XNGUSD_ret_1,0.0016179180717540704
lr_y5_pooled,dow_next_1,0.0009075577088025411
lgbm_y1_per_instr,carry_z,0.0464529586327394
lgbm_y1_per_instr,carry_d5,0.036519960349906684
lgbm_y1_per_instr,x_ho_ret_1,0.03432937130707832
lgbm_y1_per_instr,ret_1,0.034019330702823064
