name,start,end,years,ann_ret,cagr,ann_vol,sharpe,sortino,max_dd,calmar,skew,t_stat,hit_rate,turnover_py,cost_py,gross_sharpe,avg_abs_pos,time_in_mkt,symbol,dataset,is_sharpe,oos_sharpe,sr_1990-1999,sr_2000-2009,sr_2010-2019,sr_2020-2029,lag
rsi2_connors_nofilter,1990-08-23,2024-03-28,34.1,-0.032090988527348076,-0.038001420928918894,0.11516712846741126,-0.27864711879508947,-0.30209852519341784,-0.8233979755994877,-0.04615194845633592,-0.4457508559929846,-1.6269572664883936,0.4260885473838273,24.481122072108935,0.01595250564357643,-0.14013849291021532,0.2982730956747596,0.5494121755325341,XBRUSD,fut,-0.14109261617152627,-0.4197042169427336,-0.2,-0.11,-0.54,-0.26,1
rsi2_connors_nofilter,1991-08-09,2024-03-28,32.5,-0.05258521145334598,-0.05786649259920862,0.11838092980084008,-0.44420339949866494,-0.50808172947674,-0.8603785726851639,-0.06725701271082625,-0.19393441654997434,-2.533585497877845,0.4233426704014939,18.661310854478778,0.024346070884126488,-0.23866546430353036,0.22485815492768407,0.5640400097584777,XNGUSD,fut,-0.5750822577965962,-0.29810325371022345,-0.96,-0.27,-0.3,-0.06,1
rsi2_connors_nofilter,1990-08-23,2024-03-28,34.4,-0.02871496446829279,-0.03170215151496791,0.08359900330718208,-0.34348453130213163,-0.44137669889610975,-0.7147583888428615,-0.04435366133483406,-0.29930971477826884,-2.013798452796323,0.4515918580375783,,,,,,PORT,fut,-0.28325584700674106,-0.4069986649392323,-0.45,-0.16,-0.5,-0.24,1
rsi2_connors_nofilter,1991-10-29,2024-03-28,32.4,-0.013406552176448183,-0.019922426604068844,0.11584504016447095,-0.11572832257137843,-0.1308193813241443,-0.7777872883959582,-0.02561423528167341,-0.1256200546433421,-0.6585434996199607,0.4106650924832743,30.29917279706704,0.017846946812885,0.03832973053841186,0.3472620858942197,0.5338235294117647,XTIUSD,fut,0.10662320129293532,-0.32859823258794335,0.41,-0.22,-0.47,-0.03,2
rsi2_connors_nofilter,1990-08-23,2024-03-28,34.1,-0.047586090077265164,-0.05288141630415055,0.11590987821623057,-0.4105438708898739,-0.4493835167280488,-0.905699139043639,-0.05838739822585012,-0.5433160759855844,-2.3970724579705367,0.4155844155844156,24.481335830516702,0.015914994769539934,-0.2732903601305849,0.2983041301937717,0.5495285764171808,XBRUSD,fut,-0.31586587763128704,-0.5055641953517626,-0.25,-0.45,-0.69,-0.1,2
rsi2_connors_nofilter,1991-08-09,2024-03-28,32.5,-0.04699704486336985,-0.05263264446689819,0.11883121494695162,-0.3954941038375327,-0.45859907853362686,-0.8383248573271695,-0.06278311326077914,-0.0771443416665248,-2.255764199710901,0.42398206948076206,18.661153613457913,0.024301353938901368,-0.1909908500991292,0.2248194223106914,0.5639180287875092,XNGUSD,fut,-0.4248443694071913,-0.36411825783954194,-0.62,-0.37,-0.43,0.07,2
rsi2_connors_nofilter,1990-08-23,2024-03-28,34.4,-0.032550868182754794,-0.035455162906472215,0.08416759553192739,-0.38673872025258504,-0.5070456393207478,-0.7745654784671452,-0.04577426168880843,-0.22302398065502504,-2.2673912956972,0.44351682755022176,,,,,,PORT,fut,-0.29002978473432733,-0.48601349330137356,-0.21,-0.45,-0.66,-0.03,2
zfade_10_2.0,1991-10-29,2024-03-28,32.4,0.0022756000731328527,-0.001252804658977258,0.08392517287100239,0.02711463075125952,0.02039520854671199,-0.6370517950320544,-0.0019665664059768024,-0.5218936141486721,0.15429381009842427,0.4306598182536547,15.499425019390108,0.009017932634624505,0.1346068213008247,0.1751673677179318,0.2653186274509804,XTIUSD,fut,0.3090543983826667,-0.23349330857466946,0.78,-0.11,-0.42,-0.01,1
zfade_10_2.0,1990-08-23,2024-03-28,34.1,-0.014981087954448325,-0.01843319424652934,0.08497625878420441,-0.17629733491200775,-0.13473664016060763,-0.6525609014988225,-0.028247469629564682,-0.8965000181149503,-1.0293601144627507,0.42887249736564803,13.282767517157563,0.00858712391961333,-0.07526283651732603,0.16056984483860975,0.28564777092305904,XBRUSD,fut,-0.002295153461552405,-0.3494702724040181,0.02,0.11,-0.69,0.01,1
zfade_10_2.0,1991-08-09,2024-03-28,32.5,-0.043578598998080094,-0.04602851343706926,0.08399301791109354,-0.5188359709161536,-0.3935727175886874,-0.8067499074370217,-0.057054253136883615,-0.7862461673439023,-2.9592643666710368,0.4174757281553398,8.822538913354236,0.011644544835003086,-0.3807004671609953,0.11247308090385418,0.27274945108563065,XNGUSD,fut,-0.6413763978214557,-0.37869618516577047,-1.08,-0.16,-0.59,0.1,1
zfade_10_2.0,1990-08-23,2024-03-28,34.4,-0.018567448658169186,-0.02009600453314464,0.05881952857241019,-0.3156680971237571,-0.3182286191365223,-0.599940423083823,-0.0334966669354381,-0.5465761957513838,-1.8507148580319093,0.4297702297702298,,,,,,PORT,fut,-0.19963786603148245,-0.4367272109381871,-0.25,-0.09,-0.79,0.02,1
zfade_10_2.0,1991-10-29,2024-03-28,32.4,-0.0031159973591632258,-0.006790618324902797,0.08588175052585696,-0.03628241553163349,-0.027666532999176777,-0.6449732756061414,-0.010528526656427775,-0.6182397857578997,-0.20646241445459973,0.423548004741209,15.49942501939011,0.009045634920273203,0.06905048597901024,0.17516736771793173,0.2653186274509804,XTIUSD,fut,0.15179981612270468,-0.21340167252809875,0.74,-0.29,-0.42,-0.04,2
zfade_10_2.0,1990-08-23,2024-03-28,34.1,-0.010367606253456906,-0.013740357341750387,0.08330915293477112,-0.12444738528999892,-0.10361132007377857,-0.653007848916389,-0.02104164194128959,0.25335886259869234,-0.7266200299093588,0.41622760800842995,13.282767517157563,0.008605405979347999,-0.02115572199503012,0.16056984483860975,0.28564777092305904,XBRUSD,fut,-0.08052458829603878,-0.17092540473345783,-0.02,0.03,-0.75,0.76,2
zfade_10_2.0,1991-08-09,2024-03-28,32.5,-0.02660211804290499,-0.02964894303735144,0.0835725646825758,-0.3183116151089152,-0.25358018720314945,-0.7036978785965795,-0.042133057295102035,-0.017770064688643877,-1.8155414676164487,0.4267961165048544,8.822538913354236,0.011687474268393058,-0.17854477380106676,0.11247308090385418,0.27274945108563065,XNGUSD,fut,-0.46176703915897604,-0.15715977758765334,-0.95,0.1,-0.49,0.6,2
zfade_10_2.0,1990-08-23,2024-03-28,34.4,-0.012766692622896451,-0.01436280135407264,0.05831880076529765,-0.21891212534145962,-0.23268920808474083,-0.5460237379453428,-0.026304353375036532,0.18227464690044318,-1.2834490614170206,0.42928485817019574,,,,,,PORT,fut,-0.19418259258433318,-0.24585783065779884,-0.15,-0.1,-0.78,0.57,2
