sym,item,period,n,mean_bp,sd_bp,t,ann_sharpe_gross,hour
XTIUSD,08:00,oos,1840,-3.1447429389785566,57.042374958021774,-2.3648111429095553,-0.875160730234663,8
XTIUSD,08:00,full,3847,-1.8711745298806872,56.531765858711005,-2.052971114770665,-0.5254386510446832,8
XTIUSD,09:00,is,2008,-2.5784893108909928,72.41037507743026,-1.5956821708597475,-0.5652815470899767,9
XTIUSD,09:00,oos,1840,-0.5303639734049773,73.70138008924285,-0.3086791579351871,-0.11423486314192792,9
XTIUSD,09:00,full,3848,-1.5991362389122332,73.02820441678449,-1.3583521494481154,-0.3476122822239779,9
XTIUSD,10:00,is,2008,-4.97125471874806,82.84998913324625,-2.6887809015567568,-0.9525194024064702,10
XTIUSD,10:00,oos,1840,-1.7939139653004996,91.04447110779293,-0.8451950500833099,-0.312786718482543,10
XTIUSD,10:00,full,3848,-3.4519441713614927,86.86796781818856,-2.465026730651954,-0.6308184279998198,10
XTIUSD,11:00,is,2008,-1.4461048561226781,71.48646285926314,-0.9064791722897148,-0.3211265741226423,11
XTIUSD,11:00,oos,1840,-0.45179029155538614,74.93167221951043,-0.25863088209276314,-0.09571317875094872,11
XTIUSD,11:00,full,3848,-0.9706529853316653,73.14624509678522,-0.8231699146857019,-0.2106552213417348,11
XTIUSD,12:00,is,2008,2.178737707968026,64.35557584643593,1.517052545337966,0.5374264534041772,12
XTIUSD,12:00,oos,1840,-0.1888305053632994,55.74764408134416,-0.14529629774295658,-0.05377072685672056,12
XTIUSD,12:00,full,3848,1.0466364832981612,60.39661335919077,1.0749810633747405,0.2750955420058584,12
XTIUSD,13:00,is,2008,3.4130419380323063,72.9251363731691,2.0972308090854366,0.742958653054212,13
XTIUSD,13:00,oos,1840,-3.69472456122525,61.518815971695055,-2.576220376581398,-0.9533982926181706,13
XTIUSD,13:00,full,3848,0.014317832358214525,67.79550745947408,0.013100681519498954,0.0033525605297070778,13
XTIUSD,14:00,is,2008,2.9968605690503476,73.45980166054821,1.8280944930360026,0.6476152344882519,14
XTIUSD,14:00,oos,1840,0.7054368051085557,72.8599286580098,0.4153156383807468,0.15369850503832425,14
XTIUSD,14:00,full,3848,1.9011693721551037,73.17302467499877,1.611711606780741,0.4124488264310193,14
XTIUSD,15:00,is,2008,0.28143780280379316,31.367955635486254,0.40204815247442005,0.14242836436090187,15
XTIUSD,15:00,oos,1840,2.665773955859462,36.184464269235214,3.160167374570649,1.169503279568563,15
XTIUSD,15:00,full,3848,1.4215569612295809,33.7734876046992,2.6109940845114137,0.6681725449170691,15
XTIUSD,16:00,is,2008,1.010405043383458,22.840201788773907,1.9823367077224705,0.7022566156710555,16
XTIUSD,16:00,oos,1840,0.4879603253265726,34.19916676779602,0.6120373114235264,0.22650054825826693,16
XTIUSD,16:00,full,3848,0.7605874027325566,28.83279417259036,1.6363640438429101,0.41875756596740926,16
XTIUSD,18:00,is,1912,0.20301592523258802,28.965276269496865,0.3064759328077659,0.11126349606064519,18
XTIUSD,18:00,oos,1835,0.5429872389981125,48.41697340038063,0.4804077664187795,0.17802961629889547,18
XTIUSD,18:00,full,3747,0.3695084154273405,39.69545603905116,0.5698038569605722,0.1477691613273609,18
XTIUSD,19:00,is,1912,-0.003748146079263122,23.354754216257344,-0.0070175441145546085,-0.0025476600553652534,19
XTIUSD,19:00,oos,1835,1.48664910386135,27.054183748184144,2.353922024113377,0.8723169441543028,19
XTIUSD,19:00,full,3747,0.7261368161948296,25.2419258587144,1.7609126625824454,0.45666343627179623,19
XTIUSD,20:00,is,1987,0.204972368022358,25.016705240339224,0.36522806346418246,0.13006650705210465,20
XTIUSD,20:00,oos,1836,0.9266325372107238,40.062803594450145,0.9910659290403977,0.36716939857998404,20
XTIUSD,20:00,full,3823,0.5515504665391877,33.10478883640262,1.0301407881194093,0.26448113785151983,20
XTIUSD,21:00,is,1988,-0.15301063940481496,23.315488309962493,-0.29260739951560577,-0.10417832843907657,21
