sym,item,period,n,mean_bp,sd_bp,t,ann_sharpe_gross,weekday
XTIUSD,overnight_1430_0900,is,383,-4.037479640076469,159.61889966698453,-0.49502304766898,-0.4015376778094055,Mon
XTIUSD,overnight_1430_0900,oos,348,-36.122097794460544,239.16106560677602,-2.817553078439964,-2.397633260805883,Mon
XTIUSD,overnight_1430_0900,full,731,-19.311689103449464,201.9360973624486,-2.585621741043195,-1.5181216463527967,Mon
XTIUSD,overnight_1430_0900,is,413,6.321118039029669,139.0185652317349,0.9240513889621977,0.7218074641158373,Tue
XTIUSD,overnight_1430_0900,oos,378,4.822988228420049,154.4069753088272,0.6072886805278339,0.4958491312870865,Tue
XTIUSD,overnight_1430_0900,full,791,5.605197598561356,146.4822634797764,1.076202822837189,0.6074438724337675,Tue
XTIUSD,overnight_1430_0900,is,415,4.362136913142181,111.30702385358256,0.7983636779343334,0.6221240524140222,Wed
XTIUSD,overnight_1430_0900,oos,378,0.9635343381407758,164.93364906764782,0.11358051376662229,0.09273810115046162,Wed
XTIUSD,overnight_1430_0900,full,793,2.7421220665463024,139.3845047724526,0.5539988725976224,0.31230041235248707,Wed
XTIUSD,overnight_1430_0900,is,408,11.983642670377575,128.4024939323807,1.8851480936621219,1.4815477800537695,Thu
XTIUSD,overnight_1430_0900,oos,371,10.916700461018712,165.3189322517395,1.271908170655371,1.048260141673003,Thu
XTIUSD,overnight_1430_0900,full,779,11.475509731132211,147.04781693680636,2.1781216560862626,1.2388355930231296,Thu
XTIUSD,overnight_1430_0900,is,388,-2.147251604910318,130.45853735038435,-0.32420991605388233,-0.2612827277199402,Fri
XTIUSD,overnight_1430_0900,oos,365,2.0719658924754167,145.65129391826844,0.27177824329197736,0.22582318340024202,Fri
XTIUSD,overnight_1430_0900,full,753,-0.10207977682825593,137.95559168283302,-0.020304761461170766,-0.011746288791140622,Fri
XNGUSD,close_to_close,is,382,29.808523873992502,378.506090399456,1.5392149740155996,1.2501665329181582,Mon
XNGUSD,close_to_close,oos,348,-4.439578046406123,303.73623427618094,-0.2726683391810839,-0.2320306524806421,Mon
XNGUSD,close_to_close,full,730,13.482031451665488,345.08303521322614,1.0555848700527939,0.620200335847009,Mon
XNGUSD,close_to_close,is,413,14.550747999236311,287.99487952236905,1.0267756929563803,0.8020488557254316,Tue
XNGUSD,close_to_close,oos,378,12.914697593805863,249.79710803241704,1.0051774453643327,0.8207239473656438,Tue
XNGUSD,close_to_close,full,791,13.768918601950967,270.24721808371106,1.4329361601103294,0.808795769326348,Tue
XNGUSD,close_to_close,is,414,2.6869217112719834,304.24637916496795,0.17969242297660082,0.14019414120562812,Wed
XNGUSD,close_to_close,oos,378,-5.041029413443933,229.61064153472807,-0.426847870767819,-0.34851982705820406,Wed
XNGUSD,close_to_close,full,792,-1.001418598251523,271.05948154155396,-0.10397133976733798,-0.05864774522950433,Wed
XNGUSD,close_to_close,is,408,-47.046241754844324,364.179393082002,-2.609393941339447,-2.0507363925807907,Thu
XNGUSD,close_to_close,oos,371,-22.879891047466998,264.8005801980157,-1.6642630631711073,-1.3716246774969358,Thu
XNGUSD,close_to_close,full,779,-35.53697845261456,320.74118231636857,-3.0923917219024624,-1.7588388242493704,Thu
XNGUSD,close_to_close,is,388,-11.294385342712566,273.87644863114355,-0.8123136965959405,-0.654648509811715,Fri
XNGUSD,close_to_close,oos,365,-1.495510155918814,217.59819439465213,-0.13130477249855094,-0.10910241144436233,Fri
XNGUSD,close_to_close,full,753,-6.544598565581465,248.0812022654064,-0.7239134454703442,-0.4187833679575763,Fri
XNGUSD,intraday_0900_1430,is,383,26.02829275181619,252.48091656456543,2.0175137890002395,1.6365052205111206,Mon
