bot,series,start,ruined,stopped_out,years_to_ruin,years_observed,peak_equity_before_ruin,closed_trades,win_rate
grid_hedged,Brent (BRENT_W),2000-08-01,True,True,0.0992063492063492,0.0992063492063492,0.9996499999999999,108,1.0
grid_hedged,Brent (BRENT_W),2000-09-01,True,True,1.2182539682539681,1.2182539682539681,1.2130275330875566,102,1.0
grid_hedged,Brent (BRENT_W),2000-10-02,True,True,0.2261904761904762,0.2261904761904762,1.0382136840872687,82,1.0
grid_hedged,Brent (BRENT_W),2000-11-01,True,True,0.1388888888888889,0.1388888888888889,0.9996499999999999,84,1.0
grid_hedged,Brent (BRENT_W),2000-12-01,True,True,0.9603174603174603,0.9603174603174603,1.1110823073544753,91,1.0
grid_hedged,Brent (BRENT_W),2001-01-02,True,True,0.8849206349206349,0.8849206349206349,1.258486980564323,79,1.0
grid_hedged,Brent (BRENT_W),2001-02-01,True,True,0.7976190476190477,0.7976190476190477,1.2834653597309662,73,1.0
grid_hedged,Brent (BRENT_W),2001-03-01,True,True,0.6785714285714286,0.6785714285714286,1.1873056956242214,76,1.0
grid_hedged,Brent (BRENT_W),2001-04-02,True,True,0.5912698412698413,0.5912698412698413,1.107172072029881,36,1.0
grid_hedged,Brent (BRENT_W),2001-05-01,True,True,0.5238095238095238,0.5238095238095238,1.1189136805465092,58,1.0
grid_hedged,Brent (BRENT_W),2001-06-01,True,True,0.43253968253968256,0.43253968253968256,1.0346667251364827,27,1.0
grid_hedged,Brent (BRENT_W),2001-07-02,True,True,0.30952380952380953,0.30952380952380953,1.03666489423829,22,1.0
grid_hedged,Brent (BRENT_W),2001-08-01,True,True,0.21428571428571427,0.21428571428571427,1.0169878330996573,16,1.0
grid_hedged,Brent (BRENT_W),2001-09-03,True,True,0.12301587301587301,0.12301587301587301,0.9996499999999999,11,1.0
grid_hedged,Brent (BRENT_W),2001-10-01,True,True,0.47619047619047616,0.47619047619047616,1.000436168892347,40,1.0
grid_hedged,Brent (BRENT_W),2001-11-01,True,True,0.373015873015873,0.373015873015873,1.1400622226071326,35,1.0
grid_hedged,Brent (BRENT_W),2001-12-03,True,True,0.2857142857142857,0.2857142857142857,1.1040687877799369,23,1.0
grid_hedged,Brent (BRENT_W),2002-01-02,True,True,0.21031746031746032,0.21031746031746032,1.0420942988945765,16,1.0
grid_hedged,Brent (BRENT_W),2002-02-01,True,True,0.12301587301587301,0.12301587301587301,1.012125352024359,10,1.0
grid_hedged,Brent (BRENT_W),2002-03-01,True,True,0.07936507936507936,0.07936507936507936,0.9996499999999999,23,1.0
grid_hedged,Brent (BRENT_W),2002-04-02,True,True,0.7896825396825397,0.7896825396825397,1.0481979962506556,34,1.0
grid_hedged,Brent (BRENT_W),2002-05-01,True,True,0.7103174603174603,0.7103174603174603,1.0582293377772665,26,1.0
grid_hedged,Brent (BRENT_W),2002-06-05,True,True,0.6190476190476191,0.6190476190476191,1.0371467601083375,26,1.0
grid_hedged,Brent (BRENT_W),2002-07-01,True,True,0.5158730158730159,0.5158730158730159,1.01978691911059,22,1.0
grid_hedged,Brent (BRENT_W),2002-08-01,True,True,0.45634920634920634,0.45634920634920634,0.9996499999999999,20,1.0
grid_hedged,Brent (BRENT_W),2002-09-02,True,True,0.3412698412698413,0.3412698412698413,1.0328940342871205,18,1.0
grid_hedged,Brent (BRENT_W),2002-10-01,True,True,0.25793650793650796,0.25793650793650796,1.0000605537805083,15,1.0
