name,start,end,years,ann_ret,cagr,ann_vol,sharpe,sortino,max_dd,calmar,skew,t_stat,hit_rate,turnover_py,cost_py,gross_sharpe,avg_abs_pos,time_in_mkt,symbol,dataset,is_sharpe,oos_sharpe,sr_1990-1999,sr_2000-2009,sr_2010-2019,sr_2020-2029,family,lag,cost_mult,window_start,window
wf_seasonal_N5_sign,2002-01-31,2026-09-22,24.9,-0.01083688781315954,-0.016243808745588062,0.105232111071457,-0.10298080788097884,-0.15129006279086382,-0.5811284219056998,-0.02795218429055593,-0.11156822183068295,-0.5139223339563218,0.4998406628425749,,,,,,PORT,spot,0.05543055901673266,-0.1590772130451575,,0.06,-0.34,-0.01,B_wf_seasonal,1,1.0,2002-01-31,own
wf_seasonal_N5_sign,2006-01-03,2026-09-22,20.3,-0.04475983368787195,-0.054315586733205135,0.14878922397055325,-0.3008271196893287,-0.4358965195744646,-0.8013282359652077,-0.06778194539442564,-0.10396164842179827,-1.3554452595201096,0.4888584831899922,3.973626834811546,0.011991178258411325,-0.2202440658031989,0.4229987858116081,1.0,XTIUSD,spot,0.03854512692442285,-0.3317542615490754,,-0.01,-0.48,-0.23,B_wf_seasonal,1,1.0,2006-01-01,common2006
wf_seasonal_N5_sign,2006-01-03,2026-09-22,20.7,-0.011998881471247278,-0.022895435118618135,0.14949215551558745,-0.08026428831575823,-0.12082763414387684,-0.6389768295128092,-0.03583140117314561,0.19790225352075805,-0.36499139479805154,0.49241988102091727,4.251806774591079,0.012950692961989953,0.006367336534685896,0.4574342709934293,1.0,XBRUSD,spot,0.08715379816257651,-0.09536129197550698,,-0.12,-0.33,0.26,B_wf_seasonal,1,1.0,2006-01-01,common2006
wf_seasonal_N5_sign,2006-01-03,2026-09-22,19.7,0.01314167175204867,0.001613131042132343,0.15168309789232517,0.08663899890400122,0.11238346325887899,-0.3535826201611333,0.004562246417533796,-0.29029268588020873,0.38421897043837033,0.45128414186710153,2.758898285501065,0.00815878633652011,0.14042596377850516,0.21189700282638474,0.9891041162227603,XNGUSD,spot,-0.7718047534826382,0.12357453981679277,,0.16,0.14,0.0,B_wf_seasonal,1,1.0,2006-01-01,common2006
wf_seasonal_N5_sign,2006-01-03,2026-09-22,21.0,-0.015440291873012492,-0.02043569757703645,0.10201348798548544,-0.15135539601595965,-0.2209983577032471,-0.5725987659058719,-0.03568938459849182,-0.12529807412011135,-0.6935975590831527,0.4996220710506425,,,,,,PORT,spot,-0.07941772976850063,-0.1590772130451575,,0.01,-0.34,-0.01,B_wf_seasonal,1,1.0,2006-01-01,common2006
wf_seasonal_N5_tstat,1995-10-31,2024-03-28,28.4,-0.0025982731723944246,-0.006296267979216008,0.08616853996183145,-0.03015338513969641,-0.03731517218678588,-0.55894627462618,-0.011264531610711451,-0.3704406655042624,-0.1606721567942197,0.49790327089740005,3.7694140624222396,0.007915471289444798,0.061697821500071345,0.2700745564531721,0.9998602375960867,XTIUSD,fut,0.46185859168761983,-0.4837719263039923,1.0,0.25,-0.6,-0.84,B_wf_seasonal,1,1.0,1995-10-31,own
wf_seasonal_N5_tstat,1995-10-31,2024-03-28,28.9,-0.011483241640093437,-0.014795738869962105,0.08271197646192516,-0.13883408583978793,-0.17639845513890998,-0.5664853458147039,-0.02611848475741817,-0.1436404765180295,-0.7461595370253734,0.4966341530430004,3.1839244393736488,0.006752769100287103,-0.05719163326065282,0.22943385523095017,1.0,XBRUSD,fut,0.2837197273628538,-0.4852763456343392,0.71,0.15,-0.71,-0.43,B_wf_seasonal,1,1.0,1995-10-31,own
wf_seasonal_N5_tstat,1995-10-31,2024-03-28,28.3,-0.015582659315210374,-0.018431604777723543,0.07771019573053835,-0.20052271350909417,-0.2514829201612445,-0.5125846675054218,-0.03595816641848459,-0.07146462882253965,-1.0671393903464006,0.4968474148802018,2.6143301859805907,0.0065078206527333085,-0.11678511031625706,0.15564861108224287,1.0,XNGUSD,fut,-0.4294068755404437,-0.04432278118063902,-0.69,-0.3,-0.12,0.26,B_wf_seasonal,1,1.0,1995-10-31,own
wf_seasonal_N5_tstat,1995-10-31,2024-03-28,29.1,-0.009209607078300073,-0.01103773021926513,0.06145847414574005,-0.14985089048030703,-0.19950801721878733,-0.44233412972006136,-0.02495337682003092,-0.1397424197364529,-0.8082406093804387,0.49174737416450687,,,,,,PORT,fut,0.22629479586488682,-0.4827916769791254,0.52,0.1,-0.68,-0.4,B_wf_seasonal,1,1.0,1995-10-31,own
wf_seasonal_N5_tstat,2006-01-03,2024-03-28,18.3,-0.03065236362161225,-0.03326914602242925,0.07971949921840005,-0.3845027116595005,-0.46897030493758557,-0.5589462746261793,-0.05952118751427318,-0.2638983847170429,-1.6454511337865796,0.49035752979414954,3.2854278824744667,0.006995503537755327,-0.2967648162661777,0.24054942437278812,1.0,XTIUSD,fut,0.2660551336208309,-0.4837719263039923,,0.35,-0.6,-0.84,B_wf_seasonal,1,1.0,2006-01-01,common2006
