variant,symbol,year,auc,trend_auc,n
lgbm_y1_per_instr,XNGUSD,2011,0.4432098765432099,0.4711825860948668,249
lgbm_y1_per_instr,XNGUSD,2012,0.4501083216515866,0.5175544794188862,251
lgbm_y1_per_instr,XNGUSD,2013,0.5090277777777777,0.47878787878787876,252
lgbm_y1_per_instr,XNGUSD,2014,0.49341199606686326,0.47518846279908233,248
lgbm_y1_per_instr,XNGUSD,2015,0.4911728395061728,0.47836419753086423,255
lgbm_y1_per_instr,XNGUSD,2016,0.5084511278195488,0.4630375939849624,258
lgbm_y1_per_instr,XNGUSD,2017,0.5153793574846206,0.39855837941962347,254
lgbm_y1_per_instr,XNGUSD,2018,0.44414331041776833,0.3985986250661026,246
lgbm_y1_per_instr,XNGUSD,2019,0.4948549466898091,0.4590255393007687,257
lgbm_y1_per_instr,XNGUSD,2020,0.5154670563877726,0.48626842041164287,257
lgbm_y1_per_instr,XNGUSD,2021,0.5590848931745132,0.5058927333459382,252
lgbm_y1_per_instr,XNGUSD,2022,0.5405026151294808,0.503986477867075,251
lgbm_y1_per_instr,XNGUSD,2023,0.468214055448098,0.4349129593810445,251
lgbm_y1_per_instr,XNGUSD,2024,0.5347222222222222,0.4814814814814815,60
lgbm_y1_per_instr,XTIUSD,2005,0.46609195402298853,0.5327586206896552,251
lgbm_y1_per_instr,XTIUSD,2006,0.5180405752439651,0.4847200821777093,250
lgbm_y1_per_instr,XTIUSD,2007,0.5822841726618705,0.46332219938335045,251
lgbm_y1_per_instr,XTIUSD,2008,0.4767619047619048,0.5793015873015873,251
lgbm_y1_per_instr,XTIUSD,2009,0.4803109468586721,0.4537402829106665,251
lgbm_y1_per_instr,XTIUSD,2010,0.4438081603435934,0.5054987961215592,248
lgbm_y1_per_instr,XTIUSD,2011,0.515908647276986,0.48929663608562696,250
lgbm_y1_per_instr,XTIUSD,2012,0.5242326841873071,0.49612403100775193,252
lgbm_y1_per_instr,XTIUSD,2013,0.4652355623100304,0.42540526849037485,253
lgbm_y1_per_instr,XTIUSD,2014,0.5324622844827586,0.5557314116379309,244
lgbm_y1_per_instr,XTIUSD,2015,0.5186444948349711,0.5198412698412699,255
lgbm_y1_per_instr,XTIUSD,2016,0.6085604973696794,0.5086083213773314,259
lgbm_y1_per_instr,XTIUSD,2017,0.5050305425799496,0.5074859264582584,259
lgbm_y1_per_instr,XTIUSD,2018,0.5821392472798621,0.5282715975979547,260
lgbm_y1_per_instr,XTIUSD,2019,0.43841828405586797,0.45976177519801675,260
lgbm_y1_per_instr,XTIUSD,2020,0.5107559552746719,0.5108167233835683,257
lgbm_y1_per_instr,XTIUSD,2021,0.5110445038118199,0.4910405942529484,252
lgbm_y1_per_instr,XTIUSD,2022,0.543391360412637,0.5141843971631206,251
lgbm_y1_per_instr,XTIUSD,2023,0.45666539585716104,0.45660185538187825,251
lgbm_y1_per_instr,XTIUSD,2024,0.5694444444444444,0.43634259259259256,60
lgbm_y1_pooled,XBRUSD,2005,0.4794099183929692,0.49736346516007535,253
lgbm_y1_pooled,XBRUSD,2006,0.47869352869352866,0.4856532356532357,256
