name,start,end,years,ann_ret,cagr,ann_vol,sharpe,sortino,max_dd,calmar,skew,t_stat,hit_rate,turnover_py,cost_py,gross_sharpe,avg_abs_pos,time_in_mkt,symbol,dataset,is_sharpe,oos_sharpe,sr_1990-1999,sr_2000-2009,sr_2010-2019,sr_2020-2029,family,lag,cost_mult,window_start
crude_long_MarMay,1988-06-01,2026-09-22,35.0,0.014545340525713714,0.011426540132532192,0.07972471922753271,0.1824445500297293,0.12490886008616543,-0.319402261765941,0.035774762737608906,-0.4379494981489345,1.0800293723624637,0.4986326344576117,1.256680815469009,0.0033588152629024474,0.22453582699657246,0.1062761061084931,0.24402672404031253,XBRUSD,spot,0.2992342934999689,0.09142183767600284,0.24,0.62,0.0,-0.12,C_fixed_month_rule,1,1.0,
crude_long_MarMay,1987-02-24,2026-09-22,39.4,0.020488981639239477,0.018001728115035975,0.07268477189504557,0.28188822919916284,0.1933153007433215,-0.3008129300806577,0.05984359817980274,-0.5825979471518343,1.7690574171439608,0.5143418467583497,,,,,,PORT,spot,0.45914304578759746,0.11408027008784676,0.49,0.5,-0.03,-0.05,C_fixed_month_rule,1,1.0,
crude_long_FebApr,1991-10-29,2024-03-28,32.4,0.03964966809774326,0.037308441158741434,0.07754026770722093,0.5113429353565526,0.34160372457656807,-0.25082757621568996,0.1487413853039006,-1.1239027602457752,2.9097593283437897,0.5374083129584352,1.7282613892362957,0.0045123885383161625,0.5693221714599822,0.15960837462419875,0.24669117647058825,XTIUSD,fut,0.6275542755261255,0.4044508111499295,0.47,0.77,0.56,0.05,C_fixed_month_rule,1,1.0,
crude_long_FebApr,1990-08-23,2024-03-28,34.1,0.04089594652508117,0.03864514177721712,0.07703951536603286,0.5308437667445713,0.36924459280231803,-0.28144914090280027,0.13730772690673584,-0.8032806213984806,3.099476238655335,0.5272300469483568,1.3242475072507542,0.0035802108255327653,0.5771746237156875,0.12617561243918463,0.2440926551041788,XBRUSD,fut,0.613636075324766,0.4526405256826753,0.62,0.62,0.69,0.07,C_fixed_month_rule,1,1.0,
crude_long_FebApr,1990-08-23,2024-03-28,34.4,0.03940920348354583,0.03731648010714794,0.07428891715221021,0.5304856362733151,0.3579340141802964,-0.2638159178704179,0.14144893306050316,-1.106208179885408,3.109798894337004,0.5337052533705253,,,,,,PORT,fut,0.6172381084058414,0.4488779206941662,0.54,0.7,0.65,0.09,C_fixed_month_rule,1,1.0,
crude_long_FebApr,1987-02-24,2026-09-22,36.7,0.03184651305401653,0.029105915800457183,0.07932326697545296,0.4014775773654357,0.26882600787711086,-0.27328171422034464,0.10650517135218691,-0.7134691181044521,2.431725125934215,0.5200690548122572,1.1385610303201406,0.0030714630033603744,0.4401152471034998,0.1022157820854642,0.24629529475392103,XTIUSD,spot,0.3583458531505846,0.44170288228376525,0.29,0.42,0.66,0.15,C_fixed_month_rule,1,1.0,
crude_long_FebApr,1988-06-01,2026-09-22,35.0,0.03127239962787322,0.028570759203642826,0.07870920991018307,0.3973156338827297,0.2739059777995109,-0.31384222617049984,0.09103542105300165,-0.2519239912117565,2.3520162954839434,0.5060296846011132,1.2086269917351715,0.003323440285652872,0.4394361839188819,0.10637156629596199,0.23983693805910997,XBRUSD,spot,0.37315474783516905,0.41707008684838287,0.12,0.63,0.69,0.06,C_fixed_month_rule,1,1.0,
crude_long_FebApr,1987-02-24,2026-09-22,39.4,0.03329232377787578,0.03116090029376295,0.07214546394008815,0.4614610809838685,0.31851828329132453,-0.2943929118285302,0.10584799783465128,-0.2979898211102813,2.896010061707844,0.5253419147224457,,,,,,PORT,spot,0.4448291783358889,0.47900554896545083,0.33,0.52,0.77,0.12,C_fixed_month_rule,1,1.0,
crude_short_OctDec,1991-10-29,2024-03-28,32.4,0.012718133488858271,0.010048348719425393,0.07384547540268653,0.17222630661533503,0.1399210258431554,-0.3137301115073211,0.032028639747545905,0.8270243743877163,0.9800411184144602,0.48404001905669364,1.6574679038050324,0.004464038190367537,0.23263471504863756,0.15798024843468228,0.2531862745098039,XTIUSD,fut,0.1941366033480163,0.15007583622277437,0.63,-0.08,0.23,-0.21,C_fixed_month_rule,1,1.0,
crude_short_OctDec,1990-08-23,2024-03-28,34.1,0.0249682095423512,0.0221132929800143,0.07876176198061614,0.3170092810835804,0.2601757275351141,-0.2622890913982564,0.08430885501996634,0.6624680875115557,1.8509452228805243,0.5054054054054054,1.3744159771265823,0.0037953704297416027,0.36513701442039337,0.13432233615984102,0.2544523338377372,XBRUSD,fut,0.3587853644898466,0.2712871448162715,0.58,0.26,0.31,-0.1,C_fixed_month_rule,1,1.0,
