name,start,end,years,ann_ret,cagr,ann_vol,sharpe,sortino,max_dd,calmar,skew,t_stat,hit_rate,turnover_py,cost_py,gross_sharpe,avg_abs_pos,time_in_mkt,symbol,dataset,is_sharpe,oos_sharpe,sr_1990-1999,sr_2000-2009,sr_2010-2019,sr_2020-2029,setting
trend,1991-10-29,2024-03-28,32.4,0.07354060488917612,0.057862473020836136,0.18554252066417062,0.3963544562504009,0.47113250861844574,-0.4586534965069622,0.12615727005573543,-0.45716275434549203,2.2554258534950846,0.5150361629234869,6.228048086366203,0.01641689875203315,0.4847169360016338,0.5796463456388964,0.9658088235294118,XTIUSD,fut,0.5687740995093941,0.2004710182898332,0.3,0.8,-0.05,0.46,lag=2
trend,1990-08-23,2024-03-28,34.1,0.08864405393288563,0.07355000492598052,0.18777755910080068,0.4720694760192335,0.5788120161051329,-0.4009750664624203,0.18342787638860253,-0.18370398297755483,2.7563064984054497,0.5096246390760346,5.347095550459928,0.014295098182738783,0.5480439346541766,0.5036100883283021,0.9675241531835642,XBRUSD,fut,0.5098915853215793,0.43099571415353627,0.7,0.35,0.38,0.44,lag=2
trend,1991-08-09,2024-03-28,32.5,0.06813158509487924,0.05049655859505142,0.1941080492189998,0.3509982474658261,0.43860491482553476,-0.43988690234063355,0.11479441266916511,-0.11723533760382093,2.001974929871352,0.511301932062129,3.88133097909751,0.013135285448927315,0.41864240449204854,0.3686311971576081,0.9659673090997805,XNGUSD,fut,0.27034749528612656,0.432111472825177,0.18,0.41,0.18,0.78,lag=2
trend,1990-08-23,2024-03-28,34.4,0.07907140466521369,0.0716459947886059,0.14038258503220272,0.5632565082561722,0.712373386763059,-0.32116013407805954,0.22308495727303435,-0.22481868179048012,3.3022886956618525,0.5237526856051563,,,,,,PORT,fut,0.6027473520595593,0.5193203154929393,0.58,0.64,0.3,0.85,lag=2
trend,1991-10-29,2024-03-28,32.4,0.0764527175712874,0.060617854073240496,0.18720038955804524,0.4084004192073633,0.4853805334655355,-0.45412753521127247,0.13348200532486854,-0.45121141043962165,2.323972518872332,0.5140862944162436,6.227594398184413,0.016415064857862573,0.49597948212030396,0.5795357073899958,0.9656862745098039,XTIUSD,fut,0.5827939889164557,0.21099654384633695,0.35,0.77,-0.04,0.51,lag=3
trend,1990-08-23,2024-03-28,34.1,0.08713006935277759,0.07160570796838361,0.18935634347694424,0.4601381065609055,0.5628729840834455,-0.41162083544415096,0.1739603581804088,-0.18730677286537178,2.686641940870012,0.5088437011189989,5.347095550459927,0.014291968896585065,0.5354700241123826,0.5035240654000152,0.9674077522989175,XBRUSD,fut,0.4844962426348626,0.4338517686820302,0.68,0.31,0.37,0.49,lag=3
trend,1991-08-09,2024-03-28,32.5,0.06815045966264237,0.05024834814051338,0.19540785624196585,0.3487600804455597,0.435121904723842,-0.4368263429877697,0.11503048968344896,-0.127669406721207,1.9892091844700892,0.5117453902500632,3.8808276887780915,0.013138421179406938,0.4159777223533853,0.3685627694049796,0.9658453281288119,XNGUSD,fut,0.26148448037530275,0.43687989914303915,0.18,0.39,0.2,0.79,lag=3
trend,1990-08-23,2024-03-28,34.4,0.07973216372223742,0.07216440487755227,0.1416457594961048,0.5628983458868038,0.7125564287812055,-0.3228570580260881,0.22351812693443146,-0.198900201148151,3.3001888432389506,0.521905216664677,,,,,,PORT,fut,0.5945656752800944,0.5278242486366741,0.6,0.6,0.31,0.89,lag=3
trend,1991-10-29,2024-03-28,32.4,0.07326645770694178,0.057987481579187206,0.183452748240248,0.39937508927908083,0.4768243842776869,-0.4470919026295965,0.12969924357415227,-0.4378005967218183,2.272614543364391,0.5156051763511799,9.063556132113225,0.017356017521330154,0.49386356477603144,0.5826881759948626,0.9659313725490196,XTIUSD,fut,0.5489658838664593,0.22918639957026077,0.24,0.83,0.02,0.42,buffer=None
trend,1990-08-23,2024-03-28,34.1,0.0938894491067575,0.07984181392236533,0.18456919600430896,0.5086951189003692,0.6282577049192316,-0.4002487208490275,0.1994804974092132,-0.19315517831773057,2.970155312213184,0.5088415734391917,7.72986949860904,0.015197003463518287,0.5908488265407709,0.5055961310467265,0.9676405540682109,XBRUSD,fut,0.5367251845020236,0.4781194515120526,0.7,0.41,0.43,0.49,buffer=None
trend,1991-08-09,2024-03-28,32.5,0.07320961177362094,0.05622228058526946,0.1923317517579466,0.38064235938409546,0.4811896165744162,-0.44445103682814735,0.1264982549855284,-0.025096279875951002,2.171054887697791,0.5116161616161616,5.7065763363185855,0.015040488810179834,0.4588352415010474,0.370865543837526,0.966089290070749,XNGUSD,fut,0.30837236865511647,0.4526608407664559,0.26,0.41,0.18,0.85,buffer=None
trend,1990-08-23,2024-03-28,34.4,0.081899933265839,0.07496839938663769,0.1384671049483288,0.5914757392840795,0.7516082907902238,-0.3133562883511404,0.23924332197421772,-0.22896416931792607,3.4677338281330883,0.5236901778255162,,,,,,PORT,fut,0.6230779706461933,0.5563746473557356,0.59,0.66,0.34,0.9,buffer=None
trend,1991-10-29,2024-03-28,32.4,0.06473382760875498,0.04903508474432838,0.1831715340664159,0.35340550014328775,0.4183087972731067,-0.45520908548627204,0.10771991664434202,-0.5635091813641119,2.011027980689509,0.5139558487693479,4.704799623587878,0.01582993242294873,0.4397416799623932,0.5743389376046149,0.9659313725490196,XTIUSD,fut,0.5281529154044559,0.15267207772850136,0.27,0.74,-0.07,0.41,buffer=0.25
trend,1990-08-23,2024-03-28,34.1,0.08084157434491322,0.06556912161375705,0.18587023502078517,0.4349355577877922,0.5299446223046942,-0.44384849001413973,0.14772861255350495,-0.3189530005449771,2.5394899802190287,0.5087212799230122,4.025331792337,0.013762952310671027,0.5088531867148913,0.5003155038794476,0.9676405540682109,XBRUSD,fut,0.47383375361822794,0.3931214942746575,0.65,0.3,0.34,0.43,buffer=0.25
