key,sym,family,item,dir,is_days,is_sharpe,is_gross_sharpe,is_ann_ret,is_ann_vol,is_max_dd,is_t_stat,is_trades,is_trades_py,is_avg_bps,is_avg_gross_bps,is_hit,oos_days,oos_sharpe,oos_gross_sharpe,oos_ann_ret,oos_ann_vol,oos_max_dd,oos_t_stat,oos_trades,oos_trades_py,oos_avg_bps,oos_avg_gross_bps,oos_hit,full_days,full_sharpe,full_gross_sharpe,full_ann_ret,full_ann_vol,full_max_dd,full_t_stat,full_trades,full_trades_py,full_avg_bps,full_avg_gross_bps,full_hit,is_sharpe_0x,oos_sharpe_0x,full_sharpe_0x,is_sharpe_2x,oos_sharpe_2x,full_sharpe_2x,exit,thr
XTIUSD|dow|Tue_0900_1430|short,XTIUSD,D_session,dow_Tue,short,2008,0.028068537593764514,0.27585809036155734,0.0035204292802888085,0.12542261129667404,-0.4019659044781937,0.07923213703161541,413,51.830677290836654,0.6792173022425786,6.679217302242583,0.46731234866828086,1840,0.46725178213161056,0.6892822694994102,0.06496765076037857,0.13904206092910987,-0.2832962214683876,1.2625820409388107,378,51.7695652173913,12.54939084142694,18.549390841426945,0.4656084656084656,3848,0.249060535590223,0.48369101173175283,0.03290267655767059,0.13210714607875515,-0.5274537162987568,0.9732449949616364,791,51.8014553014553,6.351689613003241,12.351689613003254,0.4664981036662453,0.27585809036155734,0.6892822694994102,0.48369101173175283,-0.21980029731274567,0.2441516209501977,0.013796892721676104,,
XTIUSD|dow|Wed_0900_1430|long,XTIUSD,D_session,dow_Wed,long,2008,-0.0357159309117326,0.17416917841980503,-0.005316633253169277,0.14885887382604318,-0.2976453790445066,-0.10081927221027587,415,52.081673306772906,-1.020826120899211,4.979173879100793,0.4987951807228916,1840,-0.15342229594990262,0.05706729041280985,-0.022641331831709632,0.1475752379504395,-0.33179244097460403,-0.4145692813888178,378,51.7695652173913,-4.373483095064434,1.6265169049355723,0.4894179894179894,3848,-0.09175576276330341,0.11845189980929018,-0.013600792656629324,0.14822821201666034,-0.4545197036000247,-0.3585507300731023,793,51.93243243243243,-2.6189400379666177,3.3810599620333868,0.4943253467843632,0.17416917841980503,0.05706729041280985,0.11845189980929018,-0.24552914225755776,-0.3635991307274433,-0.3017776018686746,,
XTIUSD|dow|Wed_0900_1430|short,XTIUSD,D_session,dow_Wed,short,2008,-0.38370398638416875,-0.17416917841980503,-0.057181374714958225,0.14902470848376226,-0.578844481703209,-1.083123291593266,415,52.081673306772906,-10.979173879100799,-4.979173879100793,0.4578313253012048,1840,-0.2674404726174893,-0.05706729041280985,-0.03948214642915994,0.14762966144481007,-0.47702399326692535,-0.7226629210628022,378,51.7695652173913,-7.6265169049355785,-1.6265169049355723,0.48148148148148145,3848,-0.32841971510241946,-0.11845189980929018,-0.048718126262289614,0.14834105268953363,-0.7176991079415304,-1.283354037654706,793,51.93243243243243,-9.381059962033394,-3.3810599620333868,0.4691046658259773,-0.17416917841980503,-0.05706729041280985,-0.11845189980929018,-0.5924698063728088,-0.47726927934623153,-0.5377244345022125,,
XTIUSD|dow|Thu_0900_1430|long,XTIUSD,D_session,dow_Thu,long,2008,-0.26461095343019236,-0.028092334232954336,-0.03436868546200362,0.12988383517944774,-0.37818701210928873,-0.746946336345823,408,51.20318725099602,-6.7122160371638016,-0.7122160371637902,0.4852941176470588,1840,-0.29346873522466776,-0.08751071175309494,-0.04342873242596518,0.14798418779676106,-0.39342923788462747,-0.7929950592833178,371,50.810869565217395,-8.547134264298117,-2.5471342642981134,0.49865229110512127,3848,-0.27879370795243474,-0.05832399289595258,-0.03870093245100811,0.13881565956148095,-0.5740987095225806,-1.089432254887332,779,51.015592515592516,-7.586098787185409,-1.5860987871854,0.49165596919127086,-0.028092334232954336,-0.08751071175309494,-0.05832399289595258,-0.5004395778566901,-0.4988406174173548,-0.49862887010942586,,
XTIUSD|dow|Thu_0900_1430|short,XTIUSD,D_session,dow_Thu,short,2008,-0.20849969591668027,0.028092334232954336,-0.027075139239191637,0.12985697230950058,-0.4197209869313223,-0.5885549406603385,408,51.20318725099602,-5.287783962836221,0.7122160371637902,0.48284313725490197,1840,-0.11862252718955774,0.08751071175309494,-0.017544311052295692,0.14790033114249912,-0.37994349126132365,-0.3205352621600607,371,50.810869565217395,-3.4528657357018915,2.5471342642981134,0.4528301886792453,3848,-0.16227878006523222,0.05832399289595258,-0.022517778567702935,0.13875984622666826,-0.5253551869989352,-0.6341310160306558,779,51.015592515592516,-4.4139012128146105,1.5860987871854,0.4685494223363286,0.028092334232954336,0.08751071175309494,0.05832399289595258,-0.4445475968049419,-0.3245183058714836,-0.38251160211745044,,
XTIUSD|dow|Fri_0900_1430|long,XTIUSD,D_session,dow_Fri,long,2008,0.2986022302138637,0.5411761867738347,0.03582855498300164,0.11998756659433073,-0.2768095175057642,0.842897238347989,388,48.69322709163347,7.358016119074951,13.35801611907496,0.5180412371134021,1840,-0.025355733134830864,0.242131555657373,-0.0028419529996966055,0.11208325093911994,-0.2798313013879832,-0.06851486610672208,365,49.98913043478261,-0.5685141899806242,5.431485810019379,0.4931506849315068,3848,0.14911845304765303,0.40313849010295266,0.017337459689819534,0.11626635963209121,-0.2798313013879826,0.5827048743034471,753,49.31288981288981,3.515806872321584,9.51580687232159,0.5059760956175299,0.5411761867738347,0.242131555657373,0.40313849010295266,0.05515024897739095,-0.2927557496013965,-0.10537344662960033,,
XTIUSD|dow|Fri_0900_1430|short,XTIUSD,D_session,dow_Fri,short,2008,-0.7821695652968335,-0.5411761867738347,-0.09426042749296182,0.12051149990371973,-0.5809669037022676,-2.2079157481052802,388,48.69322709163347,-19.358016119074968,-13.35801611907496,0.45618556701030927,1840,-0.5087869940714913,-0.242131555657373,-0.057145003522042534,0.1123161641077895,-0.5043528290309959,-1.3748162039047411,365,49.98913043478261,-11.43148581001938,-5.431485810019379,0.4602739726027397,3848,-0.6558886787481448,-0.40313849010295266,-0.07651292746528733,0.11665535622801561,-0.7814542321349554,-2.562992857663681,753,49.31288981288981,-15.515806872321601,-9.51580687232159,0.4581673306772908,-0.5411761867738347,-0.242131555657373,-0.40313849010295266,-1.020902670880397,-0.7737056766088487,-0.9065908929787005,,
XTIUSD|session_walkforward|sessions,XTIUSD,D_session,walkforward_sessions,wf,2008,-1.1532324615709746,-0.5520416553012464,-0.07326049123750984,0.06352621321265253,-0.45805762403099226,-3.255355649337333,510,64.00398406374502,-11.446239216069078,-5.446239216069074,0.3980392156862745,1840,0.0458187472248349,0.585413778468354,0.008188857886217772,0.17872286743316299,-0.5754417317625042,0.12380889618115347,1091,149.4195652173913,0.5480445532219143,7.006967496857886,0.45646196150320806,3848,-0.26027244542005334,0.2417049460020752,-0.034313817020342786,0.13183807054551536,-0.6448816306558214,-1.0170573761563706,1601,104.84719334719334,-3.2727454045160043,3.0399872197855875,0.43785134291068084,-0.5520416553012464,0.585413778468354,0.2417049460020752,-1.7399824185883233,-0.494105984140228,-0.761401759722395,,
XTIUSD|session_walkforward|sessions+dow,XTIUSD,D_session,walkforward_sessions+dow,wf,2008,-1.1532324615709746,-0.5520416553012464,-0.07326049123750984,0.06352621321265253,-0.45805762403099226,-3.255355649337333,510,64.00398406374502,-11.446239216069078,-5.446239216069074,0.3980392156862745,1840,-0.04457991343690216,0.5094475812121909,-0.008105408345943048,0.18181749853362414,-0.5754417317625036,-0.12046138772390051,1143,156.5413043478261,-0.5177808106117004,5.9202637488868515,0.4549431321084864,3848,-0.3146016095682485,0.195181756404369,-0.0421052540960122,0.1338367408666358,-0.6860062433398989,-1.22935751821772,1653,108.25259875259874,-3.8895374874315807,2.41335720797486,0.43738656987295826,-0.5520416553012464,0.5094475812121909,0.195181756404369,-1.7399824185883233,-0.5987494919966236,-0.823347624145027,,
XNGUSD|session|asia|long,XNGUSD,D_session,asia,long,2006,-4.374230813171437,0.31629741335215983,-0.46276874959152764,0.105794314327919,-0.9765444107429089,-12.34146993268461,1975,248.10568295114655,-18.652081809937805,1.3479181900622048,0.3488607594936709,1840,-4.422475336113857,0.3941179722030396,-0.461255932345875,0.10429813561180705,-0.9676753114381682,-11.950169372065481,1834,251.17826086956524,-18.363688431834525,1.6363115681654814,0.33805888767720826,3846,-4.397600021549622,0.35329743087218884,-0.4620449888707786,0.10506753379266258,-0.9992418053822303,-17.17987879943029,3809,249.57566302652106,-18.513222934789102,1.4867770652109076,0.34365975321606723,0.31629741335215983,0.3941179722030396,0.35329743087218884,-9.046820687826346,-9.23507314259829,-9.13703780206913,,
XNGUSD|session|asia|short,XNGUSD,D_session,asia,short,2006,-5.005525457019735,-0.31629741335215983,-0.5296539822130589,0.10581386245279678,-0.9862797545625596,-14.122606822456975,1975,248.10568295114655,-21.347918190062213,-1.3479181900622048,0.3488607594936709,1840,-5.210355033732225,-0.3941179722030396,-0.5434571111323863,0.10430327830138345,-0.9823713781915103,-14.079134513932095,1834,251.17826086956524,-21.63631156816549,-1.6363115681654814,0.3249727371864776,3846,-5.103272865089967,-0.35329743087218884,-0.5362576632353061,0.1050811268399328,-0.9997544077129542,-19.936694759195642,3809,249.57566302652106,-21.486777065210912,-1.4867770652109076,0.33735888684694143,-0.31629741335215983,-0.3941179722030396,-0.35329743087218884,-9.674241384241995,-10.021885708307103,-9.839956587318087,,
XNGUSD|session|london|long,XNGUSD,D_session,london,long,2006,-3.0790828631328626,-0.3519657244656551,-0.43113523089510664,0.1400206652627858,-0.9712433644876486,-8.687335030692479,1521,191.0727816550349,-22.563927062802872,-2.563927062802864,0.3879026955950033,1840,-2.7540609168737764,0.08248942882324338,-0.4667475918753526,0.16947613214204896,-0.9711040340917638,-7.441871783630513,1755,240.3586956521739,-19.418793674550013,0.5812063254499954,0.4056980056980057,3846,-2.8952270573472814,-0.1222465118035827,-0.4481728658934563,0.154797139228206,-0.9991268328623001,-11.31063527795106,3276,214.65210608424337,-20.879034176238843,-0.8790341762388323,0.3974358974358974,-0.3519657244656551,0.08248942882324338,-0.1222465118035827,-5.721115924113231,-5.577871408027335,-5.622636091928284,,
XNGUSD|session|london|short,XNGUSD,D_session,london,short,2006,-2.3851072886402456,0.3519657244656551,-0.3331558957250333,0.13968172304524135,-0.9351233284217433,-6.729349946588391,1521,191.0727816550349,-17.436072937197146,2.563927062802864,0.4260355029585799,1840,-2.9186570803648064,-0.08248942882324338,-0.49468719073334344,0.1694913712410202,-0.976969458920138,-7.886634474707135,1755,240.3586956521739,-20.581206325450005,-0.5812063254499954,0.41937321937321936,3846,-2.652680406651184,0.1222465118035827,-0.4104355584435176,0.1547248426212273,-0.9984992175123656,-10.363090698692492,3276,214.65210608424337,-19.12096582376118,0.8790341762388323,0.42246642246642246,0.3519657244656551,-0.08248942882324338,0.1222465118035827,-5.055643119208282,-5.741328320687347,-5.385776309788234,,
XNGUSD|session|ny_pre|long,XNGUSD,D_session,ny_pre,long,2006,-4.922314314401385,-1.020423822920195,-0.6358062636239054,0.1291681560772552,-0.9940983693082044,-13.887834617113715,2006,252.0,-25.230407286662913,-5.230407286662902,0.353938185443669,1840,-4.5401838472259355,-0.2652853516716447,-0.5352764893439121,0.11789753616937067,-0.9806933563806384,-12.268234830302506,1840,252.0,-21.241130529520326,-1.241130529520315,0.3625,3846,-4.742340062067634,-0.6754775819115533,-0.5877108957936434,0.12392845896787179,-0.9998867437939045,-18.526657061297577,3846,252.0,-23.3218609441922,-3.32186094419219,0.3580343213728549,-1.020423822920195,-0.2652853516716447,-0.6754775819115533,-8.824204805882573,-8.815082342780226,-8.809202542223716,,
