fam,sym,strategy,year,net_ret,gross_ret,sharpe,trades,avg_bps,hit
C,XNGUSD,XNGUSD|eia_pre|short|09:00->T-1,2019,-0.034723586557808175,0.06127641344219181,-0.6993562584449919,48,-7.234080532876708,0.4166666666666667
C,XNGUSD,XNGUSD|eia_pre|short|09:00->T-1,2020,-0.011918704415805871,0.02408129558419414,-0.4312095639151549,18,-6.621502453225486,0.3888888888888889
D,XNGUSD,XNGUSD|dow|Thu_0900_1430|short,2005,0.21827869679793754,0.32027869679793763,1.2232441971155668,51,42.79974447018383,0.6078431372549019
D,XNGUSD,XNGUSD|dow|Thu_0900_1430|short,2006,-0.0021587437811007026,0.09984125621889939,-0.009444461470832381,51,-0.4232830943334707,0.5294117647058824
D,XNGUSD,XNGUSD|dow|Thu_0900_1430|short,2007,0.05623398108678758,0.16023398108678766,0.33680502850684785,52,10.814227132074535,0.4807692307692308
D,XNGUSD,XNGUSD|dow|Thu_0900_1430|short,2008,0.4558478491837934,0.5578478491837935,2.1714031334204678,51,89.3819312125085,0.5294117647058824
D,XNGUSD,XNGUSD|dow|Thu_0900_1430|short,2009,-0.11583251795611571,-0.01583251795611562,-0.3058114818038312,50,-23.166503591223144,0.52
D,XNGUSD,XNGUSD|dow|Thu_0900_1430|short,2010,0.23369141128639626,0.33569141128639635,1.090572103027652,51,45.821845350273776,0.6078431372549019
D,XNGUSD,XNGUSD|dow|Thu_0900_1430|short,2011,0.11734568496253975,0.2193456849625398,0.71732349740521,51,23.008957835792106,0.5294117647058824
D,XNGUSD,XNGUSD|dow|Thu_0900_1430|short,2012,-0.06940941152953273,0.03259058847046736,-0.3166871588123003,51,-13.609688535202492,0.47058823529411764
D,XNGUSD,XNGUSD|dow|Thu_0900_1430|short,2013,-0.07807981865941116,0.02192018134058893,-0.4808033310183283,50,-15.615963731882228,0.42
D,XNGUSD,XNGUSD|dow|Thu_0900_1430|short,2014,0.0773115227598812,0.17531152275988127,0.4865653960983481,49,15.777861787730856,0.5510204081632653
D,XNGUSD,XNGUSD|dow|Thu_0900_1430|short,2015,0.24156003529815506,0.33956003529815515,1.3163532167768484,49,49.29796638737859,0.5918367346938775
D,XNGUSD,XNGUSD|dow|Thu_0900_1430|short,2016,-0.33783050746810983,-0.23583050746810974,-2.0934102519933546,51,-66.24127597413919,0.43137254901960786
D,XNGUSD,XNGUSD|dow|Thu_0900_1430|short,2017,-0.0998808766139327,0.0021191233860673453,-0.8727907142332042,51,-19.58448561057504,0.45098039215686275
D,XNGUSD,XNGUSD|dow|Thu_0900_1430|short,2018,0.19741445460741092,0.299414454607411,1.155463751247896,51,38.70871658968842,0.5294117647058824
