family,name,lag,symbol,sharpe,total_ret,cagr,max_dd,ann_vol
trend,breakout_multi,1,XTIUSD,0.09155665618587035,0.016814451546735887,6.859322393570899e-05,-0.15281226134521142,0.18212990672508542
trend,breakout_multi,1,XBRUSD,0.3480336338113269,0.06448246171436156,0.04747005237017099,-0.14126071291181264,0.1795702250494698
trend,breakout_multi,1,XNGUSD,-1.7496937707424742,-0.2134619526261785,-0.22083343288771695,-0.2331353084442397,0.13716675909327536
trend,breakout_multi,1,PORT,-0.27503873943039375,-0.03190102422710139,-0.038584668325311156,-0.11723484947569984,0.1178701729010973
trend,breakout_multi,2,XTIUSD,0.11032348861780716,0.02016458918730346,0.003587892406618831,-0.14883348632042248,0.1809656972638668
trend,breakout_multi,2,XBRUSD,0.31495941661237603,0.05819652443402967,0.04127027265541394,-0.14522114296428434,0.17961811335444125
trend,breakout_multi,2,XNGUSD,-1.9445185841581436,-0.24073538320717225,-0.24832679586789974,-0.2562422088369528,0.14155405294770204
trend,breakout_multi,2,PORT,-0.3577116801839001,-0.04153633733568374,-0.04823158610947931,-0.11517601101006159,0.11858728532324671
trend,donchian_20_10,1,XTIUSD,0.844659867040237,0.1381769206485064,0.12495425023003226,-0.11012263001088929,0.15327001775552038
trend,donchian_20_10,1,XBRUSD,1.7620555046007866,0.32226154688129083,0.3058650845810078,-0.0798668544961677,0.15862068317917846
trend,donchian_20_10,1,XNGUSD,-0.8533031873266167,-0.11013816001958743,-0.11841848631383656,-0.14617307193685514,0.1367181719727484
trend,donchian_20_10,1,PORT,0.9517433470577729,0.10296758309824594,0.09716683735593712,-0.06203075038842509,0.10299353297686735
trend,donchian_20_10,2,XTIUSD,0.8698726795933077,0.145633525022278,0.13180588801251414,-0.13105803118220394,0.15633835430728138
trend,donchian_20_10,2,XBRUSD,1.7765259987768312,0.3286615488158866,0.311893474511727,-0.08247036199160873,0.16004965163635726
trend,donchian_20_10,2,XNGUSD,-1.434479727935217,-0.1760677338108162,-0.18356626631499262,-0.2206710818766422,0.1349566330830314
trend,donchian_20_10,2,PORT,0.8431598752906285,0.0946303225904539,0.08838886558600167,-0.06855034243800606,0.10725477636235256
trend,donchian_55_20,1,XTIUSD,1.0309030458724862,0.16227081678257438,0.15003195417933535,-0.06963790325497587,0.145911459357094
trend,donchian_55_20,1,XBRUSD,1.2747438383145488,0.2131289543360706,0.19934807989091352,-0.06993695330438066,0.1516202784710258
trend,donchian_55_20,1,XNGUSD,-1.3987759041781103,-0.1453953086153974,-0.15076569731577238,-0.14800761709234356,0.11228910701089431
trend,donchian_55_20,1,PORT,0.7324614995241385,0.07435893287405237,0.0692478835384358,-0.06591864087400312,0.09793600107118054
trend,donchian_55_20,2,XTIUSD,1.0552727207982413,0.16946129658275755,0.15674218812286278,-0.07495776082670913,0.14838992998265457
trend,donchian_55_20,2,XBRUSD,1.174503998060808,0.19556953621393602,0.18189875947618428,-0.07008920876086033,0.15213740618624833
