name,start,end,years,ann_ret,cagr,ann_vol,sharpe,sortino,max_dd,calmar,skew,t_stat,hit_rate,turnover_py,cost_py,gross_sharpe,avg_abs_pos,time_in_mkt,symbol,dataset,is_sharpe,oos_sharpe,sr_1990-1999,sr_2000-2009,sr_2010-2019,sr_2020-2029,family,lag,cost_mult,window_start,tilt,w,corr_tilt_vs_trend_port
trend+0.5xseasonal_wf_exp_tstat,1991-08-09,2024-03-28,32.4,0.06736883481807794,0.048993842478291416,0.19754805247152274,0.34102505175437964,0.42356771434640256,-0.4809245742658226,0.10187427530207872,-0.07091623707221179,1.9401022604336047,0.5109701965757768,4.920013252768224,0.014223279846724194,0.4129864616948063,0.3686094252324246,0.9667729279058362,XNGUSD,fut,0.2685748178598618,0.4124027366963591,0.19,0.44,0.1,0.76,G_overlay_robust,2,1.0,,seasonal_wf_exp_tstat,0.5,
trend+0.5xseasonal_wf_exp_tstat,1990-08-30,2024-03-28,33.6,0.08253273372553405,0.07372518947042273,0.15084121698112432,0.5471497471136278,0.6902617662386833,-0.3559951754061357,0.20709603546259758,-0.1600183853393931,3.1694829480441737,0.5220048899755502,,,,,,PORT,fut,0.640673014357118,0.4436693123144925,0.67,0.64,0.21,0.74,G_overlay_robust,2,1.0,,seasonal_wf_exp_tstat,0.5,
trend+0.5xseasonal_wf_exp_tstat,1991-10-29,2024-03-28,32.2,0.08101781528533324,0.06224064651219763,0.20269608311774262,0.39970094162239633,0.4730981243720583,-0.5052187403835218,0.1231954429579344,-0.41454591363161225,2.267909075732959,0.514854009945174,8.059051097789302,0.020717159600189758,0.5017816224724987,0.6288002444153163,0.966720078885739,XTIUSD,fut,0.5875160475509797,0.18348348729061262,0.39,0.75,-0.05,0.34,G_overlay_robust,1,2.0,,seasonal_wf_exp_tstat,0.5,
trend+0.5xseasonal_wf_exp_tstat,1990-08-30,2024-03-28,33.3,0.1032268979032096,0.08669405356028315,0.20031588524862753,0.515320578670467,0.6392980530095189,-0.47673147710976804,0.18185091130519523,0.0017220756504720798,2.974141985206144,0.5086164451009355,6.758406744625921,0.018073971189858394,0.6053235939812396,0.5282898155497072,0.9678341672623302,XBRUSD,fut,0.5826566796291084,0.44380503645375363,0.83,0.38,0.4,0.42,G_overlay_robust,1,2.0,,seasonal_wf_exp_tstat,0.5,
trend+0.5xseasonal_wf_exp_tstat,1991-08-09,2024-03-28,32.4,0.06563189436938704,0.04755082346459649,0.19578724663734182,0.33522047782283537,0.4214114559002983,-0.4804331937827979,0.09897489199319155,0.010025655645084149,1.9070798565148626,0.5074816129850368,4.9202632144604,0.0191714413421505,0.43314132319320087,0.36866473808101313,0.9668955370279548,XNGUSD,fut,0.2588543401398058,0.4098980078724186,0.18,0.42,0.07,0.81,G_overlay_robust,1,2.0,,seasonal_wf_exp_tstat,0.5,
trend+0.5xseasonal_wf_exp_tstat,1990-08-30,2024-03-28,33.6,0.08242645473077682,0.07387576728199985,0.14920527118348206,0.5524366135122305,0.7007018515734165,-0.3343276316215291,0.2209681770055724,-0.15367791587565843,3.2001082622060735,0.51998533186652,,,,,,PORT,fut,0.6399682433333278,0.45537385210280423,0.65,0.66,0.23,0.74,G_overlay_robust,1,2.0,,seasonal_wf_exp_tstat,0.5,
trend+1.0xseasonal_wf_exp_tstat,1991-10-29,2024-03-28,32.2,0.09546922473835429,0.07214195261902656,0.22658003937060722,0.4213487869608822,0.49677884786191334,-0.5441352374300622,0.13258092410951236,-0.4293724436895254,2.390739271513675,0.5128139742445493,9.369362022740885,0.020606394331710486,0.5121680993306843,0.7046816038403702,0.966720078885739,XTIUSD,fut,0.6136552931633287,0.20365572623409534,0.53,0.71,-0.01,0.31,G_overlay,1,1.0,,seasonal_wf_exp_tstat,1.0,0.11478874540927965
trend+1.0xseasonal_wf_exp_tstat,1990-08-30,2024-03-28,33.3,0.11865435150253151,0.0990155291435133,0.220106997403841,0.5390757808795629,0.6708763502308047,-0.5119554049170554,0.19340655102480134,0.08290714251400932,3.1112437179555235,0.5141555883801083,7.8436155131839165,0.017649149703889505,0.6190471937930556,0.5903384843573338,0.9678341672623302,XBRUSD,fut,0.6216543214490681,0.45245492523885905,0.93,0.38,0.43,0.37,G_overlay,1,1.0,,seasonal_wf_exp_tstat,1.0,0.11478874540927965
trend+1.0xseasonal_wf_exp_tstat,1991-08-09,2024-03-28,32.4,0.0660936726098381,0.04633454231580458,0.20391211501042406,0.3241282285089308,0.4058280048878996,-0.48098664777881506,0.09633228392051298,0.02438399013266492,1.8439757008040412,0.5101445599797109,5.7682811800234735,0.01548946203912088,0.40007040820930134,0.38416922053241104,0.9668955370279548,XNGUSD,fut,0.24082967296850638,0.4052208382198203,0.15,0.43,0.05,0.81,G_overlay,1,1.0,,seasonal_wf_exp_tstat,1.0,0.11478874540927965
trend+1.0xseasonal_wf_exp_tstat,1990-08-30,2024-03-28,33.6,0.09219592085639489,0.0820030957675244,0.16343773431105288,0.5641042519650245,0.7123192085248018,-0.3536336707650841,0.23188712655701377,-0.12740423724306277,3.2676955750306833,0.5243857719105244,,,,,,PORT,fut,0.6605488688476033,0.45756731139009243,0.75,0.63,0.24,0.7,G_overlay,1,1.0,,seasonal_wf_exp_tstat,1.0,0.11478874540927965
